State,Names,Gender,Race and Ethnicity
Alaska,"Burgess, Timothy Mark",Male,White
Alaska,"Gleason, Sharon Louise",Female,White
Alaska,"Holland, H[ezekiah] Russel",Male,White
Alaska,"Kindred, Joshua Michael",Male,White
Alaska,"Sedwick, John W.",Male,White
Alaska,"Singleton, James Keith, Jr.",Male,White
Alaska,"Beistline, Ralph R.",Male,White
Arizona,"Bolton, Susan Ritchie",Female,White
Arizona,"Zipps, Jennifer Guerin",Female,White
Arizona,"Zapata, Frank R.",Male,Hispanic
Arizona,"Wake, Neil Vincent",Male,White
Arizona,"Tuchi, John Joseph",Male,White
Arizona,"Teilborg, James A.",Male,White
Arizona,"Snow, G. Murray",Male,White
Arizona,"Silver, Roslyn O.",Female,White
Arizona,"Humetewa, Diane Joyce",Female,Indigenous American
Arizona,"Jorgenson, Cindy K.",Female,White
Arizona,"Lanza, Dominic William",Male,White
Arizona,"Liburdi, Michael Thomas",Male,White
Arizona,"Logan, Steven Paul",Male,African American
Arizona,"Márquez, Rosemary",Female,Hispanic
Arizona,"Martone, Frederick J.",Male,White
Arizona,"McNamee, Stephen M.",Male,White
Arizona,"Soto, James Alan",Male,
Arizona,"Rash, Scott Hugh",Male,White
Arizona,"Rayes, Douglas Leroy",Male,White
Arizona,"Brnovich, Susan Marie",Female,White
Arizona,"Bury, David C.",Male,White
Arizona,"Campbell, David G.",Male,White
Arizona,"Collins, Raner Christercunean",Male,African American
Arizona,"Hinderaker, John Charles",Male,White
Central California,"Holcomb, John William",Male,White
Central California,"Pregerson, Dean D.",Male,White
Central California,"Scarsi, Mark Christopher",Male,White
Central California,"Selna, James V.",Male,White
Central California,"Slaughter, Fred Wallace",Male,African American
Central California,"Snyder, Christina A.",Female,White
Central California,"Staton, Josephine L.",Female,White
Central California,"Walter, John F.",Male,White
Central California,"Vera, Hernán Diego",Male,Hispanic
Central California,"Phillips, Virginia A.",Female,White
Central California,"Wilson, Stephen Victor",Male,White
Central California,"Wright, Otis D. II",Male,African American
Central California,"Wu, George H.",Male,
Central California,"Sykes, Sunshine Suzanne",Female,Indigenous American
Central California,"Olguin, Fernando Manzano",Male,Hispanic
Central California,"Marshall, Consuelo Bland",Female,African American
Central California,"Kronstadt, John Arnold",Male,White
Central California,"Hatter, Terry J., Jr.",Male,African American
Central California,"Gutierrez, Philip S.",Male,Hispanic
Central California,"Gee, Dolly Maizie",Female,
Central California,"Garnett, Sherilyn Peace",Female,African American
Central California,"Frimpong, Maame Ewusi-Mensah",Female,African American
Central California,"Fitzgerald, Michael Walter",Male,White
Central California,"Kato, Kenly Kiya",Female,
Central California,"Fairbank, Valerie Baker",Female,White
Central California,"Hsu, Wesley Liu",Male,
Central California,"Carter, David O.",Male,White
Central California,"Blumenfeld, Stanley, Jr.",Male,White
Central California,"Birotte, Andre, Jr.",Male,African American
Central California,"Bernal, Jesus Gilberto",Male,Hispanic
Central California,"Anderson, Percy",Male,African American
Central California,"Almadani, Monica Ramirez",Female,Hispanic
Central California,"Aenlle-Rocha, Fernando Lazaro",Male,Hispanic
Central California,"Keller, William Duffy",Male,White
Central California,"Klausner, Robert Gary",Male,White
Central California,"Carney, Cormac J.",Male,White
Central California,"Fischer, Dale S.",Female,White
Central Illinois,"Bruce, Colin Stirling",Male,White
Central Illinois,"Darrow, Sara Lynn",Female,White
Central Illinois,"Lawless, Colleen Rae",Female,White
Central Illinois,"McDade, Joe Billy",Male,African American
Central Illinois,"Mihm, Michael Martin",Male,White
Central Illinois,"Myerscough, Sue Ellen",Female,White
Central Illinois,"Shadid, James Edward",Male,White
Colorado,"Arguello, Christine M.",Female,Hispanic
Colorado,"Babcock, Lewis Thornton",Male,White
Colorado,"Blackburn, Robert E.",Male,White
Colorado,"Rodriguez, Regina Marie",Female,
Colorado,"Domenico, Daniel Desmond",Male,White
Colorado,"Gallagher, Gordon Paul",Male,White
Colorado,"Jackson, Richard Brooke",Male,White
Colorado,"Kane, John L., Jr.",Male,White
Colorado,"Krieger, Marcia S.",Female,White
Colorado,"Martinez, William Joseph",Male,Hispanic
Colorado,"Wang, Nina Nin-Yuen",Female,
Colorado,"Sweeney, Charlotte Noelle",Female,White
Colorado,"Moore, Raymond Paul",Male,African American
Colorado,"Brimmer, Philip A.",Male,White
Connecticut,"Meyer, Jeffrey Alker",Male,White
Connecticut,"Dooley, Kari Anne",Female,White
Connecticut,"Hall, Janet C.",Female,White
Connecticut,"Shea, Michael P.",Male,White
Connecticut,"Covello, Alfred V.",Male,White
Connecticut,"Chatigny, Robert N.",Male,White
Connecticut,"Bryant, Vanessa Lynne",Female,African American
Connecticut,"Bolden, Victor Allen",Male,African American
Connecticut,"Arterton, Janet Bond",Female,White
Connecticut,"Thompson, Alvin W.",Male,African American
Connecticut,"Underhill, Stefan R.",Male,White
Connecticut,"Oliver, Vernon Dion",Male,African American
Connecticut,"Williams, Omar Antonio",Male,
Connecticut,"Nagala, Sarala Vidya",Female,
D Columbia,"Kollar-Kotelly, Colleen",Female,White
D Columbia,"Lamberth, Royce C.",Male,White
D Columbia,"Leon, Richard J.",Male,White
D Columbia,"McFadden, Trevor Neil",Male,White
D Columbia,"Mehta, Amit Priyavadan",Male,
D Columbia,"Moss, Randolph Daniel",Male,White
D Columbia,"Nichols, Carl John",Male,White
D Columbia,"Reyes, Ana Cecilia",Female,Hispanic
D Columbia,"Roberts, Richard W.",Male,African American
D Columbia,"Kennedy, Henry Harold, Jr.",Male,African American
D Columbia,"Boasberg, James Emanuel",Male,White
D Columbia,"Bates, John D.",Male,White
D Columbia,"Kelly, Timothy James",Male,White
D Columbia,"Jackson, Amy Berman",Female,White
D Columbia,"Huvelle, Ellen Segal",Female,White
D Columbia,"Howell, Beryl Alaine",Female,White
D Columbia,"Hogan, Thomas Francis",Male,White
D Columbia,"AliKhan, Loren Linn",Female,
D Columbia,"Friedrich, Dabney Langhorne",Female,White
D Columbia,"Friedman, Paul L.",Male,White
D Columbia,"Cooper, Christopher Reid",Male,African American
D Columbia,"Contreras, Rudolph",Male,Hispanic
D Columbia,"Collyer, Rosemary M.",Female,White
D Columbia,"Cobb, Jia Michelle",Female,African American
D Columbia,"Chutkan, Tanya Sue",Female,African American
D Columbia,"Sullivan, Emmet G.",Male,African American
D Columbia,"Walton, Reggie B.",Male,African American
D Columbia,"Green, Joyce Hens",Female,White
Delaware,"Connolly, Colm Felix",Male,White
Delaware,"Andrews, Richard Gibson",Male,White
Delaware,"Hall, Jennifer Lynne",Female,White
Delaware,"Longobardi, Joseph J.",Male,White
Delaware,"Noreika, Maryellen",Female,White
Delaware,"Williams, Gregory Brian",Male,African American
Eastern North Carolina,"Flanagan, Louise W.",Female,White
Eastern North Carolina,"Britt, William Earl",Male,White
Eastern North Carolina,"Dever, James C. III",Male,White
Eastern North Carolina,"Howard, Malcolm Jones",Male,White
Eastern North Carolina,"Myers, Richard Ernest II",Male,
Eastern North Carolina,"Boyle, Terrence William",Male,White
Eastern Pennsylvania,"Marston, Karen Spencer",Female,White
Eastern Pennsylvania,"Savage, Timothy J.",Male,White
Eastern Pennsylvania,"Sánchez, Juan Ramon",Male,Hispanic
Eastern Pennsylvania,"Rufe, Cynthia M.",Female,White
Eastern Pennsylvania,"Quiñones Alejandro, Nitza Ileana",Female,Hispanic
Eastern Pennsylvania,"Davis, Legrome D.",Male,African American
Eastern Pennsylvania,"Diamond, Paul Steven",Male,White
Eastern Pennsylvania,"Pratter, Gene E.K.",Female,White
Eastern Pennsylvania,"Perez, Mia Roberts",Female,
Eastern Pennsylvania,"Pappert, Gerald John",Male,White
Eastern Pennsylvania,"Padova, John R.",Male,White
Eastern Pennsylvania,"Murphy, John Frank",Male,White
Eastern Pennsylvania,"Buckwalter, Ronald Lawrence",Male,White
Eastern Pennsylvania,"DuBois, Jan Ely",Male,White
Eastern Pennsylvania,"Gallagher, John Michael",Male,White
Eastern Pennsylvania,"Goldberg, Mitchell S.",Male,White
Eastern Pennsylvania,"Hodge, Kelley Brisbon",Female,African American
Eastern Pennsylvania,"Bartle, Harvey III",Male,White
Eastern Pennsylvania,"Baylson, Michael M.",Male,White
Eastern Pennsylvania,"Schiller, Berle M.",Male,White
Eastern Pennsylvania,"Jones, C. Darnell II",Male,African American
Eastern Pennsylvania,"Kearney, Mark A.",Male,White
Eastern Pennsylvania,"Beetlestone, Wendy",Female,
Eastern Pennsylvania,"Kelly, Robert F.",Male,White
Eastern Pennsylvania,"Kenney, Chad Francis, Sr.",Male,White
Eastern Pennsylvania,"McHugh, Gerald Austin, Jr.",Male,White
Eastern Pennsylvania,"Leeson, Joseph F., Jr.",Male,White
Eastern Pennsylvania,"Schmehl, Jeffrey L.",Male,White
Eastern Pennsylvania,"Brody, Anita Blumstein",Female,White
Eastern Pennsylvania,"Slomsky, Joel Harvey",Male,White
Eastern Pennsylvania,"Surrick, R[ichard] Barclay",Male,White
Eastern Pennsylvania,"Tucker, Petrese B.",Female,African American
Eastern Pennsylvania,"Wolson, Joshua David",Male,White
Eastern Pennsylvania,"Yohn, William Hendricks, Jr.",Male,White
Eastern Pennsylvania,"Younge, John Milton",Male,African American
Eastern Pennsylvania,"Scott, Kai Niambi",Female,African American
Eastern Tennessee,"Atchley, Charles Edward, Jr.",Male,White
Eastern Tennessee,"Collier, Curtis Lynn",Male,African American
Eastern Tennessee,"Corker, Clifton Leland",Male,White
Eastern Tennessee,"Jordan, Robert Leon",Male,White
Eastern Tennessee,"Varlan, Thomas A.",Male,White
Eastern Tennessee,"Phillips, Thomas W.",Male,White
Eastern Tennessee,"Greer, J. Ronnie",Male,White
Eastern Tennessee,"Edgar, Robert Allan",Male,White
Eastern Tennessee,"Crytzer, Katherine Amber",Female,White
Eastern Tennessee,"McDonough, Travis Randall",Male,White
Eastern Texas,"Truncale, Michael Joseph",Male,White
Eastern Texas,"Schroeder, Robert William III",Male,White
Eastern Texas,"Clark, Ron",Male,White
Eastern Texas,"Mazzant, Amos Louis III",Male,White
Eastern Texas,"Barker, J. Campbell",Male,White
Eastern Texas,"Crone, Marcia A.",Female,White
Eastern Texas,"Gilstrap, James Rodney",Male,White
Eastern Texas,"Schell, Richard A.",Male,White
Eastern Texas,"Kernodle, Jeremy Daniel",Male,White
Eastern Texas,"Jordan, Sean D.",Male,White
Eastern Virginia,"Hilton, Claude M.",Male,White
Eastern Virginia,"Allen, Arenda Lauretta Wright",Female,African American
Eastern Virginia,"Alston, Rossie David, Jr.",Male,African American
Eastern Virginia,"Davis, Mark Steven",Male,White
Eastern Virginia,"Brinkema, Leonie M.",Female,White
Eastern Virginia,"Young, Roderick Charles",Male,African American
Eastern Virginia,"Walker, Jamar Kentrell",Male,African American
Eastern Virginia,"Trenga, Anthony John",Male,White
Eastern Virginia,"Smith, Rebecca Beach",Female,White
Eastern Virginia,"Payne, Robert E.",Male,White
Eastern Virginia,"Novak, David John",Male,White
Eastern Virginia,"Nachmanoff, Michael Stefan",Male,White
Eastern Virginia,"Lauck, M[ary] Hannah",Female,White
Eastern Virginia,"Hanes, Elizabeth Wilson",Female,White
Eastern Virginia,"Hudson, Henry E.",Male,White
Eastern Virginia,"Ellis, Thomas Selby III",Male,White
Eastern Virginia,"Jackson, Raymond Alvin",Male,African American
Eastern Virginia,"Giles, Patricia Tolliver",Female,African American
Eastern Virginia,"Gibney, John Adrian, Jr.",Male,White
Eastern Washington,"Bastian, Stanley Allen",Male,White
Eastern Washington,"Dimke, Mary Katherine",Female,White
Eastern Washington,"Nielsen, William Fremming",Male,White
Eastern Washington,"Peterson, Rosanna Malouf",Female,White
Eastern Washington,"Rice, Thomas Owen",Male,White
Eastern Washington,"Shea, Edward F.",Male,White
Eastern Washington,"Quackenbush, Justin Lowe",Male,White
Eastern Washington,"Whaley, Robert H.",Male,White
Eastern Washington,"Suko, Lonny R.",Male,White
Eastern Wisconsin,"Adelman, Lynn S.",Male,White
