State,D_Columbia
D_Columbia,"AliKhan, Loren Linn"
D_Columbia,"Bates, John D."
D_Columbia,"Boasberg, James Emanuel"
D_Columbia,"Chutkan, Tanya Sue"
D_Columbia,"Cobb, Jia Michelle"
D_Columbia,"Collyer, Rosemary M."
D_Columbia,"Contreras, Rudolph"
D_Columbia,"Cooper, Christopher Reid"
D_Columbia,"Friedman, Paul L."
D_Columbia,"Friedrich, Dabney Langhorne"
D_Columbia,"Green, Joyce Hens"
D_Columbia,"Hogan, Thomas Francis"
D_Columbia,"Howell, Beryl Alaine"
D_Columbia,"Huvelle, Ellen Segal"
D_Columbia,"Jackson, Amy Berman"
D_Columbia,"Kelly, Timothy James"
D_Columbia,"Kennedy, Henry Harold, Jr."
D_Columbia,"Kollar-Kotelly, Colleen"
D_Columbia,"Lamberth, Royce C."
D_Columbia,"Leon, Richard J."
D_Columbia,"McFadden, Trevor Neil"
D_Columbia,"Mehta, Amit Priyavadan"
D_Columbia,"Moss, Randolph Daniel"
D_Columbia,"Nichols, Carl John"
D_Columbia,"Reyes, Ana Cecilia"
D_Columbia,"Roberts, Richard W."
D_Columbia,"Sullivan, Emmet G."
D_Columbia,"Walton, Reggie B."
