State,Eastern_Louisiana
Eastern_Louisiana,"Africk, Lance M."
Eastern_Louisiana,"Ashe, Barry Weldon"
Eastern_Louisiana,"Barbier, Carl J."
Eastern_Louisiana,"Berrigan, Helen Ginger"
Eastern_Louisiana,"Brown, Nannette Jolivette"
Eastern_Louisiana,"Fallon, Eldon E."
Eastern_Louisiana,"Guidry, Greg Gerard"
Eastern_Louisiana,"Lemelle, Ivan L. R."
Eastern_Louisiana,"Lemmon, Mary Ann Vial"
Eastern_Louisiana,"Milazzo, Jane Margaret Triche"
Eastern_Louisiana,"Morgan, Susie"
Eastern_Louisiana,"Papillion, Darrel James"
Eastern_Louisiana,"Vance, Sarah S."
Eastern_Louisiana,"Vitter, Wendy Baldwin"
Eastern_Louisiana,"Zainey, Jay C."
