State,Eastern_Missouri
Eastern_Missouri,"Autrey, Henry Edward"
Eastern_Missouri,"Clark, Stephen Robert, Sr."
Eastern_Missouri,"Filippine, Edward Louis"
Eastern_Missouri,"Fleissig, Audrey Goldstein"
Eastern_Missouri,"Hamilton, Jean Constance"
Eastern_Missouri,"Laughrey, Nanette Kay"
Eastern_Missouri,"Limbaugh, Stephen Nathaniel, Jr."
Eastern_Missouri,"Perry, Catherine D."
Eastern_Missouri,"Pitlyk, Sarah Elizabeth"
Eastern_Missouri,"Ross, John Andrew"
Eastern_Missouri,"Schelp, Matthew Thomas"
Eastern_Missouri,"Sippel, Rodney W."
Eastern_Missouri,"Webber, E. Richard"
Eastern_Missouri,"White, Ronnie Lee"
Eastern_Missouri,"Wimes, Brian Curtis"
