State,Eastern_New_York
Eastern_New_York,"Amon, Carol Bagley"
Eastern_New_York,"Azrack, Joan Marie"
Eastern_New_York,"Block, Frederic"
Eastern_New_York,"Brodie, Margo Kitsy"
Eastern_New_York,"Brown, Gary Richard"
Eastern_New_York,"Chen, Pamela Ki Mai"
Eastern_New_York,"Choudhury, Nusrat Jahan"
Eastern_New_York,"Cogan, Brian Mark"
Eastern_New_York,"DeArcy Hall, LaShann Moutique"
Eastern_New_York,"Dearie, Raymond Joseph"
Eastern_New_York,"Donnelly, Ann Marie"
Eastern_New_York,"Garaufis, Nicholas"
Eastern_New_York,"Gershon, Nina"
Eastern_New_York,"Glasser, Israel Leo"
Eastern_New_York,"Gonzalez, Hector"
Eastern_New_York,"Gujarati, Diane"
Eastern_New_York,"Hurley, Denis Reagan"
Eastern_New_York,"Irizarry, Dora L."
Eastern_New_York,"Komitee, Eric Ross"
Eastern_New_York,"Korman, Edward Robert"
Eastern_New_York,"Kovner, Rachel Peter"
Eastern_New_York,"Kuntz, William Francis II"
Eastern_New_York,"Matsumoto, Kiyo A."
Eastern_New_York,"Mauskopf, Roslynn Renee"
Eastern_New_York,"Merchant, Orelia Eleta"
Eastern_New_York,"Merle, Natasha Clarise"
Eastern_New_York,"Morrison, Nina Rauh"
Eastern_New_York,"Reyes, Ramon Ernesto, Jr."
Eastern_New_York,"Ross, Allyne R."
Eastern_New_York,"Seybert, Joanna"
Eastern_New_York,"Vitaliano, Eric Nicholas"
