State,Eastern Virginia
Eastern Virginia,"Allen, Arenda Lauretta Wright"
Eastern Virginia,"Alston, Rossie David, Jr."
Eastern Virginia,"Brinkema, Leonie M."
Eastern Virginia,"Davis, Mark Steven"
Eastern Virginia,"Ellis, Thomas Selby III"
Eastern Virginia,"Gibney, John Adrian, Jr."
Eastern Virginia,"Giles, Patricia Tolliver"
Eastern Virginia,"Hanes, Elizabeth Wilson"
Eastern Virginia,"Hilton, Claude M."
Eastern Virginia,"Hudson, Henry E."
Eastern Virginia,"Jackson, Raymond Alvin"
Eastern Virginia,"Lauck, M[ary] Hannah"
Eastern Virginia,"Nachmanoff, Michael Stefan"
Eastern Virginia,"Novak, David John"
Eastern Virginia,"Payne, Robert E."
Eastern Virginia,"Smith, Rebecca Beach"
Eastern Virginia,"Trenga, Anthony John"
Eastern Virginia,"Walker, Jamar Kentrell"
Eastern Virginia,"Young, Roderick Charles"
