State,Middle_Florida
Middle_Florida,"Adams, Henry Lee, Jr."
Middle_Florida,"Antoon, John II"
Middle_Florida,"Badalamenti, John Leonard"
Middle_Florida,"Barber, Thomas Patrick"
Middle_Florida,"Berger, Wendy Williams"
Middle_Florida,"Bucklew, Susan C."
Middle_Florida,"Byron, Paul Gregory"
Middle_Florida,"Chappell, Sheri Polster"
Middle_Florida,"Conway, Anne C."
Middle_Florida,"Corrigan, Timothy J."
Middle_Florida,"Covington, Virginia Maria Hernandez"
Middle_Florida,"Dalton, Roy Bale, Jr."
Middle_Florida,"Davis, Brian Jordan"
Middle_Florida,"Fawsett, Patricia C."
Middle_Florida,"Honeywell, Charlene Vanessa Edwards"
Middle_Florida,"Howard, Marcia Morales"
Middle_Florida,"Jung, William Frederic"
Middle_Florida,"Kovachevich, Elizabeth Anne"
Middle_Florida,"Lazzara, Richard A."
Middle_Florida,"Mendoza, Carlos Eduardo"
Middle_Florida,"Merryday, Steven Douglas"
Middle_Florida,"Mizelle, Kathryn Kimball"
Middle_Florida,"Moody, James S., Jr."
Middle_Florida,"Presnell, Gregory A."
Middle_Florida,"Schlesinger, Harvey Erwin"
Middle_Florida,"Scriven, Mary Stenson"
Middle_Florida,"Steele, John E."
Middle_Florida,"Whittemore, James D."
