State,Minnesota
Minnesota,"Alsop, Donald Douglas"
Minnesota,"Blackwell, Jerry Wayne"
Minnesota,"Brasel, Nancy Ellen"
Minnesota,"Bryan, Jeffrey Marc"
Minnesota,"Davis, Michael James"
Minnesota,"Doty, David Singleton"
Minnesota,"Ericksen, Joan N."
Minnesota,"Frank, Donovan W."
Minnesota,"Magnuson, Paul Arthur"
Minnesota,"Menendez, Katherine Marie"
Minnesota,"Montgomery, Ann D."
Minnesota,"Nelson, Susan Richard"
Minnesota,"Schiltz, Patrick Joseph"
Minnesota,"Tostrud, Eric Christian"
Minnesota,"Tunheim, John R."
Minnesota,"Wright, Wilhelmina Marie"
