State,Northern_Georgia
Northern_Georgia,"Batten, Timothy C., Sr."
Northern_Georgia,"Boulee, Jean-Paul"
Northern_Georgia,"Brown, Michael Lawrence"
Northern_Georgia,"Calvert, Victoria Marie"
Northern_Georgia,"Cohen, Mark Howard"
Northern_Georgia,"Cooper, Clarence"
Northern_Georgia,"Evans, Orinda Dale"
Northern_Georgia,"Geraghty, Sarah Elisabeth"
Northern_Georgia,"Grimberg, Steven Daniel"
Northern_Georgia,"Hunt, Willis B., Jr."
Northern_Georgia,"Jones, Steve CarMichael"
Northern_Georgia,"May, Leigh Martin"
Northern_Georgia,"Pannell, Charles A., Jr."
Northern_Georgia,"Ray, William McCrary II"
Northern_Georgia,"Ross, Eleanor Louise"
Northern_Georgia,"Story, Richard W."
Northern_Georgia,"Thrash, Thomas W., Jr."
Northern_Georgia,"Totenberg, Amy Mil"
