State,Northern_Illinois
Northern_Illinois,"Alonso, Jorge Luis"
Northern_Illinois,"Aspen, Marvin E."
Northern_Illinois,"Blakey, John Robert"
Northern_Illinois,"Bucklo, Elaine E."
Northern_Illinois,"Chang, Edmond E-Min"
Northern_Illinois,"Coleman, Sharon Johnson"
Northern_Illinois,"Conlon, Suzanne B."
Northern_Illinois,"Cummings, Jeffrey Irvine"
Northern_Illinois,"Daniel, Jeremy Christen"
Northern_Illinois,"Dow, Robert Michael, Jr."
Northern_Illinois,"Durkin, Thomas Michael"
Northern_Illinois,"Ellis, Sara Lee"
Northern_Illinois,"Gettleman, Robert William"
Northern_Illinois,"Gottschall, Joan B."
Northern_Illinois,"Guzman, Ronald A."
Northern_Illinois,"Hunt, LaShonda Annette"
Northern_Illinois,"Jenkins, Lindsay Clayton"
Northern_Illinois,"Johnston, Iain David"
Northern_Illinois,"Kapala, Frederick J."
Northern_Illinois,"Kendall, Virginia Mary"
Northern_Illinois,"Kennelly, Matthew F."
Northern_Illinois,"Kness, John Fitzgerald"
Northern_Illinois,"Kocoras, Charles Petros"
Northern_Illinois,"Lefkow, Joan Humphrey"
Northern_Illinois,"Leinenweber, Harry Daniel"
Northern_Illinois,"Maldonado, Nancy Lee"
Northern_Illinois,"Marovich, George Michael"
Northern_Illinois,"Norgle, Charles Ronald, Sr."
Northern_Illinois,"Pacold, Martha Maria"
Northern_Illinois,"Pallmeyer, Rebecca R."
Northern_Illinois,"Reinhard, Philip Godfrey"
Northern_Illinois,"Rowland, Mary Margaret"
Northern_Illinois,"Seeger, Steven Charles"
Northern_Illinois,"Shah, Manish Suresh"
Northern_Illinois,"Tharp, John Joseph, Jr."
Northern_Illinois,"Valderrama, Franklin Ulyses"
Northern_Illinois,"Wood, Andrea Robin"
