State,Northern Texas
Northern Texas,"Boyle, Jane J."
Northern Texas,"Brown, Ada Elene"
Northern Texas,"Cummings, Samuel Ray"
Northern Texas,"Fish, A[llen] Joe"
Northern Texas,"Fitzwater, Sidney Allen"
Northern Texas,"Godbey, David C."
Northern Texas,"Hendrix, James Wesley"
Northern Texas,"Kacsmaryk, Matthew Joseph"
Northern Texas,"Kinkeade, James E."
Northern Texas,"Lindsay, Sam A."
Northern Texas,"Lynn, Barbara M."
Northern Texas,"Maloney, Robert B."
Northern Texas,"Means, Terry R."
Northern Texas,"O'Connor, Reed Charles"
Northern Texas,"Pittman, Mark Timothy"
Northern Texas,"Scholer, Karen Gren"
Northern Texas,"Starr, Brantley David"
