State,Southern_Florida
Southern_Florida,"Altman, Roy Kalman"
Southern_Florida,"Altonaga, Cecilia M."
Southern_Florida,"Bloom, Beth Francine"
Southern_Florida,"Cannon, Aileen Mercedes"
Southern_Florida,"Cohn, James I."
Southern_Florida,"Dimitrouleas, William P."
Southern_Florida,"Gayles, Darrin Phillip"
Southern_Florida,"Gold, Alan Stephen"
Southern_Florida,"Gonzalez, Jose Alejandro, Jr."
Southern_Florida,"Graham, Donald L."
Southern_Florida,"Huck, Paul C."
Southern_Florida,"Hurley, Daniel T. K."
Southern_Florida,"King, James Lawrence"
Southern_Florida,"Lenard, Joan A."
Southern_Florida,"Marra, Kenneth A."
Southern_Florida,"Martinez, Jose E."
Southern_Florida,"Middlebrooks, Donald M."
Southern_Florida,"Moore, Kevin Michael"
Southern_Florida,"Moreno, Federico A."
Southern_Florida,"Rosenberg, Robin Lee"
Southern_Florida,"Ruiz, Rodolfo Armando II"
Southern_Florida,"Scola, Robert Nichols, Jr."
Southern_Florida,"Seitz, Patricia A."
Southern_Florida,"Singhal, Anuraag Hari"
Southern_Florida,"Smith, Rodney"
Southern_Florida,"Williams, Kathleen Mary"
Southern_Florida,"Zloch, William J."
