State,Southern_New_York
Southern_New_York,"Abrams, Ronnie"
Southern_New_York,"Berman, Richard M."
Southern_New_York,"Briccetti, Vincent Louis"
Southern_New_York,"Broderick, Vernon Speede"
Southern_New_York,"Buchwald, Naomi Reice"
Southern_New_York,"Caproni, Valerie Elaine"
Southern_New_York,"Carter, Andrew Lamar, Jr."
Southern_New_York,"Castel, P. Kevin"
Southern_New_York,"Clarke, Jessica Gloria Lynn"
Southern_New_York,"Cote, Denise"
Southern_New_York,"Cronan, John Peter"
Southern_New_York,"Crotty, Paul Austin"
Southern_New_York,"Daniels, George B."
Southern_New_York,"Engelmayer, Paul Adam"
Southern_New_York,"Failla, Katherine Polk"
Southern_New_York,"Furman, Jesse Matthew"
Southern_New_York,"Gardephe, Paul G."
Southern_New_York,"Garnett, Margaret M."
Southern_New_York,"Haight, Charles Sherman, Jr."
Southern_New_York,"Halpern, Philip Morgan"
Southern_New_York,"Hellerstein, Alvin K."
Southern_New_York,"Ho, Dale Edwin"
Southern_New_York,"Kaplan, Lewis A."
Southern_New_York,"Karas, Kenneth M."
Southern_New_York,"Keenan, John Fontaine"
Southern_New_York,"Koeltl, John George"
Southern_New_York,"Liman, Lewis Jeffrey"
Southern_New_York,"Marrero, Victor"
Southern_New_York,"McMahon, Colleen"
Southern_New_York,"Oetken, James Paul"
Southern_New_York,"Preska, Loretta A."
Southern_New_York,"Rakoff, Jed Saul"
Southern_New_York,"Ramos, Edgardo"
Southern_New_York,"Rearden, Jennifer Hutchison"
Southern_New_York,"Rochon, Jennifer Louise"
Southern_New_York,"Román, Nelson Stephen"
Southern_New_York,"Schofield, Lorna Gail"
Southern_New_York,"Seibel, Cathy"
Southern_New_York,"Stanton, Louis Lee"
Southern_New_York,"Stein, Sidney H."
Southern_New_York,"Subramanian, Arun Srinivas"
Southern_New_York,"Swain, Laura Taylor"
Southern_New_York,"Torres, Analisa Nadine"
Southern_New_York,"Vyskocil, Mary Kay"
Southern_New_York,"Wood, Kimba Maureen"
Southern_New_York,"Woods, Gregory Howard III"
