State,Southern Texas
Southern Texas,"Alvarez, Micaela"
Southern Texas,"Bennett, Alfred Homer"
Southern Texas,"Brown, Jeffrey Vincent"
Southern Texas,"Crane, Randy"
Southern Texas,"Ellison, Keith P."
Southern Texas,"Eskridge, Charles R. III"
Southern Texas,"Garcia Marmolejo, Marina"
Southern Texas,"Hanen, Andrew S."
Southern Texas,"Hanks, George Carol, Jr."
Southern Texas,"Harmon, Melinda"
Southern Texas,"Head, Hayden Wilson, Jr."
Southern Texas,"Hinojosa, Ricardo H."
Southern Texas,"Hittner, David"
Southern Texas,"Hoyt, Kenneth M."
Southern Texas,"Hughes, Lynn Nettleton"
Southern Texas,"Jack, Janis Graham"
Southern Texas,"Lake, Simeon Timothy III"
Southern Texas,"Miller, Gray Hampton"
Southern Texas,"Morales, David Steven"
Southern Texas,"Olvera, Jose Rolando, Jr."
Southern Texas,"Rainey, John David"
Southern Texas,"Ramos, Nelva Gonzales"
Southern Texas,"Rodriguez, Fernando, Jr."
Southern Texas,"Rosenthal, Lee Hyman"
Southern Texas,"Saldaña, Diana"
Southern Texas,"Tagle, Hilda G."
Southern Texas,"Tipton, Drew Barnett"
Southern Texas,"Werlein, Ewing, Jr."
