State,Western_Oklahoma
Western_Oklahoma,"Alley, Wayne Edward"
Western_Oklahoma,"Cauthron, Robin J."
Western_Oklahoma,"DeGiusti, Timothy D."
Western_Oklahoma,"Dishman, Jodi Warmbrod"
Western_Oklahoma,"Friot, Stephen P."
Western_Oklahoma,"Goodwin, Charles Barnes"
Western_Oklahoma,"Heaton, Joe L."
Western_Oklahoma,"Heil, John Frederick III"
Western_Oklahoma,"Jones, Bernard M."
Western_Oklahoma,"Leonard, Timothy D."
Western_Oklahoma,"Miles-LaGrange, Vicki"
Western_Oklahoma,"Palk, Scott Lawrence"
Western_Oklahoma,"Payne, James H."
Western_Oklahoma,"Russell, David Lynn"
Western_Oklahoma,"Wyrick, Patrick Robert"
