State,Western Texas
Western Texas,"Albright, Alan D"
Western Texas,"Biery, Samuel Frederick, Jr."
Western Texas,"Briones, David"
Western Texas,"Cardone, Kathleen"
Western Texas,"Counts, Walter David III"
Western Texas,"Garcia, Orlando Luis"
Western Texas,"Guaderrama, David Campos"
Western Texas,"Junell, Robert A."
Western Texas,"Montalvo, Frank"
Western Texas,"Moses, Alia"
Western Texas,"Nowlin, James Robertson"
Western Texas,"Pitman, Robert Lee"
Western Texas,"Pulliam, Jason Kenneth"
Western Texas,"Rodriguez, Xavier"
Western Texas,"Sparks, Sam"
