African American
"Abudu, Nancy Gbana"
"Adams, Henry Lee, Jr."
"Allen, Arenda Lauretta Wright"
"Alston, Rossie David, Jr."
"Anderson, Percy"
"Armstrong, Saundra Brown"
"Autrey, Henry Edward"
"Benjamin, DeAndrea Gist"
"Bennett, Alfred Homer"
"Berger, Irene Cornelia"
"Biggs, Loretta Copeland"
"Birotte, Andre, Jr."
"Blackwell, Jerry Wayne"
"Bolden, Victor Allen"
"Boulware, Richard Franklin II"
"Brodie, Margo Kitsy"
"Brown, Debra Marie"
"Brown, Nannette Jolivette"
"Bryant, Vanessa Lynne"
"Burrell, Garland Ellis, Jr."
"Calvert, Victoria Marie"
"Carter, Andrew Lamar, Jr."
"Casper, Denise Jefferson"
"Childs, Julianna Michelle"
"Chutkan, Tanya Sue"
"Clarke, Jessica Gloria Lynn"
"Clay, Eric L."
"Cobb, Jia Michelle"
"Cole, Ransey Guy, Jr."
"Coleman, Sharon Johnson"
"Collier, Curtis Lynn"
"Collins, Raner Christercunean"
"Cooper, Christopher Reid"
"Cooper, Clarence"
"Crenshaw, Waverly David, Jr."
"Cummings, Jeffrey Irvine"
"Cunningham, Tiffany Patrice"
"Daniel, Jeremy Christen"
"Daniels, George B."
"Davis, Brian Jordan"
"Davis, Legrome D."
"Davis, Michael James"
"Davis, Stephanie Dawkins"
"Dawson, Joseph III"
"DeArcy Hall, LaShann Moutique"
"Douglas, Dana Marie"
"Drain, Gershwin Allen"
"Edwards, Harry Thomas"
"Ellis, Sara Lee"
"England, Morrison C., Jr."
"Fleming, Charles Esque"
"Fowlkes, John Thomas, Jr."
"Freeman, Arianna Julia"
"Frimpong, Maame Ewusi-Mensah"
"Gaitan, Fernando J., Jr."
"Gardner, Leslie Abrams"
"Garnett, Sherilyn Peace"
"Gayles, Darrin Phillip"
"Giles, Patricia Tolliver"
"Gilliam, Haywood Stirling, Jr."
"Graham, Donald L."
"Graves, James Earl, Jr."
"Gregory, Roger L."
"Grey, Jonathan James Canada"
"Haggerty, Ancer Lee"
"Hamilton, Phyllis Jean"
"Hanks, George Carol, Jr."
"Hatter, Terry J., Jr."
"Henderson, Thelton Eugene"
"Hodge, Kelley Brisbon"
"Holmes, Jerome A."
"Honeywell, Charlene Vanessa Edwards"
"Hood, Denise Page"
"Hopkins, Jeffery Paul"
"Houston, John A."
"Hoyt, Kenneth M."
"Hunt, LaShonda Annette"
"Jackson, Brian Anthony"
"Jackson, Ketanji Brown"
"Jackson, Raymond Alvin"
"Jackson-Akiwumi, Candace Rae"
"Jenkins, Lindsay Clayton"
"Jones, Bernard M."
"Jones, C. Darnell II"
"Jones, Richard A."
"Jones, Steve CarMichael"
"Kearse, Amalya Lyle"
"Kennedy, Henry Harold, Jr."
"Kuntz, William Francis II"
"Lee, Eunice Cheryl"
"Lemelle, Ivan L. R."
"Lindsay, Sam A."
"Logan, Steven Paul"
"Lohier, Raymond Joseph, Jr."
"Maddox, Matthew James"
"Marbley, Algenon L."
"Marshall, Consuelo Bland"
"Mathis, Andre Bernard"
"McDade, Joe Billy"
"McKee, Theodore Alexander"
"McMillion, Brandy Renée"
"Merchant, Orelia Eleta"
"Merle, Natasha Clarise"
"Miles-LaGrange, Vicki"
"Miller, Brian Stacy"
"Montgomery-Reeves, Tamika Renee"
"Moore, Raymond Paul"
"Moorer, Terry Fitzgerald"
"Neals, Julien Xavier"
"Nelson, Adrienne Camille"
"Nunley, Troy Lynne"
"Oliver, Solomon, Jr."
"Oliver, Vernon Dion"
"Papillion, Darrel James"
"Parker, Barrington Daniels, Jr."
"Parker, Linda Vivienne"
"Pearson, Benita Yalonda"
"Pratt, Tanya Walton"
"Pryor, Doris Lenea"
"Pulliam, Jason Kenneth"
"Rawlinson, Johnnie B."
"Reeves, Carlton Wayne"
"Roberts, Richard W."
"Robinson, Julie A."
"Rogers, Judith Ann Wilson"
"Ross, Eleanor Louise"
"Russell, George Levi III"
"Sands, W[illie] Louis"
"Scott, Kai Niambi"
"Scriven, Mary Stenson"
"Semper, Jamel Ken"
"Shipp, Michael Andre"
"Simmons, James Edward, Jr."
"Slaughter, Fred Wallace"
"Smith, Lavenski R."
"Smith, Rodney"
"Stewart, Carl E."
"Sullivan, Emmet G."
"Swain, Laura Taylor"
"Thomas, Clarence"
"Thomas, Holly Aiyisha"
"Thompson, Alvin W."
"Thompson, Anne Elise"
"Thompson, Myron Herbert"
"Thompson, Ojetta Rogeriee"
"Thompson, Trina Lynn"
"Tucker, Petrese B."
"Walker, Jamar Kentrell"
"Walton, Reggie B."
"White, Ronnie Lee"
"Whitehead, Jamal Norman"
"Wigenton, Susan Davis"
"Wilkins, Robert Leon"
"Williams, Gregory Brian"
"Williams, Karen McGlashan"
"Wilson, Charles R."
"Wimes, Brian Curtis"
"Wingate, Henry Travillion"
"Wood, Andrea Robin"
"Woods, Gregory Howard III"
"Wright, Otis D. II"
"Wright, Wilhelmina Marie"
"Wynn, James Andrew, Jr."
"Yandle, Staci Michelle"
"Young, Roderick Charles"
"Younge, John Milton"
