Hispanic
"Aenlle-Rocha, Fernando Lazaro"
"Almadani, Monica Ramirez"
"Alonso, Jorge Luis"
"Altman, Roy Kalman"
"Altonaga, Cecilia M."
"Alvarez, Micaela"
"Antongiorgi-Jordán, María del R."
"Arguello, Christine M."
"Arias-Marxuach, Raúl Manuel"
"Armijo, M. Christina"
"Bea, Carlos T."
"Benitez, Roger T."
"Bernal, Jesus Gilberto"
"Besosa, Francisco Augusto"
"Briones, David"
"Bryan, Jeffrey Marc"
"Cabranes, José Alberto"
"Callahan, Consuelo Maria"
"Cardone, Kathleen"
"Carreño-Coll, Silvia Luisa"
"Contreras, Rudolph"
"Covington, Virginia Maria Hernandez"
"Crane, Randy"
"Curiel, Gonzalo Paul"
"Davila, Edward John"
"de Alba, Ana Isabel"
"Delgado Hernández, Pedro Alberto"
"Delgado-Colón, Aida M."
"Diaz, Albert"
"Domínguez, Daniel R."
"Estudillo, David"
"Fernandez, Ferdinand Francis"
"Fuentes, Julio M."
"Garcia Marmolejo, Marina"
"Garcia, Bradley Nelson"
"Garcia, Matthew Lane"
"Garcia, Orlando Luis"
"Garcia-Gregory, Jay A."
"Gelpí, Gustavo Antonio, Jr."
"Gonzales, Kenneth John"
"Gonzalez, Hector"
"Gonzalez, Jose Alejandro, Jr."
"Grimberg, Steven Daniel"
"Guaderrama, David Campos"
"Guirola, Louis, Jr."
"Gutierrez, Philip S."
"Guzman, Ronald A."
"Hernandez, Marco Antonio"
"Herrera, Judith C."
"Hinojosa, Ricardo H."
"Howard, Marcia Morales"
"Irizarry, Dora L."
"Jordan, Adalberto Jose"
"Lagoa, Barbara"
"Lopez, Linda"
"Lucero, Carlos F."
"Maldonado, Nancy Lee"
"Márquez, Rosemary"
"Marrero, Victor"
"Martinez, Jose E."
"Martinez, Ricardo S."
"Martinez, William Joseph"
"Martinez-Olguin, Araceli"
"Mendez, John A."
"Méndez-Miró, Gina Raquel"
"Mendoza, Carlos Eduardo"
"Mendoza, Salvador, Jr."
"Montalvo, Frank"
"Montenegro, Ruth Bermudez"
"Morales, David Steven"
"Moreno, Federico A."
"Moses, Alia"
"Murguia, Mary Helen"
"Navarro, Gloria Maria"
"Olguin, Fernando Manzano"
"Olvera, Jose Rolando, Jr."
"Padin, Evelyn"
"Paez, Richard A."
"Pérez, Myrna"
"Quiñones Alejandro, Nitza Ileana"
"Ramirez, Irma Carrillo"
"Ramos, Edgardo"
"Ramos, Nelva Gonzales"
"Restrepo, Luis Felipe"
"Reyes, Ana Cecilia"
"Reyes, Ramon Ernesto, Jr."
"Reyna, Jimmie V."
"Rodriguez, Fernando, Jr."
"Rodriguez, Joseph H."
"Rodriguez, Xavier"
"Rogers, Yvonne Gonzalez"
"Román, Nelson Stephen"
"Ruiz, David Augustin"
"Ruiz, Rodolfo Armando II"
"Salas, Esther"
"Saldaña, Diana"
"Sanchez, Gabriel Patrick"
"Sánchez, Juan Ramon"
"Silva, Cristina Dionne"
"Sotomayor, Sonia"
"Stoll, Kara Farnandez"
"Tagle, Hilda G."
"Urias, David Herrera"
"Vázquez, Martha Alicia"
"Vélez-Rivé, Camille Lizette"
"Vera, Hernán Diego"
"Wardlaw, Kim McLane"
"Zapata, Frank R."
