Nominee Last Name,Nominee First Name,Nominee,Nomination date,Confirmation date,Court,Incumbent Last Name,Incumbent First Name,Incumbent,Vacancy Reason,Vacancy Date
Rikelman,Julie,"Rikelman,Julie",01/03/2023,06/20/2023,01 - CCA,Lynch,Sandra L.,"Lynch,Sandra L.",Senior,12/31/2022
Guzman,Margaret R.,"Guzman,Margaret R.",01/03/2023,03/01/2023,01 - MA,Hillman,Timothy S.,"Hillman,Timothy S.",Senior,07/01/2022
Joun,Myong J.,"Joun,Myong J.",01/23/2023,07/12/2023,01 - MA,O'Toole Jr.,George A.,"O'Toole Jr.,George A.",Senior,01/01/2018
Kobick,Julia E.,"Kobick,Julia E.",01/23/2023,11/07/2023,01 - MA,Young,William G.,"Young,William G.",Senior,07/01/2021
Mendez-Miro,Gina R.,"Mendez-Miro,Gina R.",01/03/2023,02/14/2023,01 - PR,Cerezo,Carmen Consuelo,"Cerezo,Carmen Consuelo",Retired,02/28/2021
Kahn,Maria Araujo,"Kahn,Maria Araujo",01/03/2023,03/09/2023,02 - CCA,Cabranes,Jose A.,"Cabranes,Jose A.",Senior,03/09/2023
Oliver,Vernon D.,"Oliver,Vernon D.",05/04/2023,09/19/2023,02 - CT,Underhill,Stefan R.,"Underhill,Stefan R.",Senior,11/01/2022
Choudhury,Nusrat Jahan,"Choudhury,Nusrat Jahan",01/03/2023,06/15/2023,02 - NYE,Bianco,Joseph F.,"Bianco,Joseph F.",Elevated,05/08/2019
Merchant,Orelia Eleta,"Merchant,Orelia Eleta",01/23/2023,05/03/2023,02 - NYE,Kuntz II,William Francis,"Kuntz II,William Francis",Senior,01/01/2022
Merle,Natasha C.,"Merle,Natasha C.",01/03/2023,06/21/2023,02 - NYE,,,,New Position,02/01/2021
Reyes Jr.,Ramon Ernesto,"Reyes Jr.,Ramon Ernesto",01/23/2023,11/08/2023,02 - NYE,Matsumoto,Kiyo A.,"Matsumoto,Kiyo A.",Senior,07/23/2022
Clarke,Jessica G. L.,"Clarke,Jessica G. L.",01/03/2023,03/16/2023,02 - NYS,McMahon,Colleen,"McMahon,Colleen",Senior,04/10/2021
Garnett,Margaret M.,"Garnett,Margaret M.",07/11/2023,11/28/2023,02 - NYS,Briccetti,Vincent L.,"Briccetti,Vincent L.",Senior,04/21/2023
Ho,Dale E.,"Ho,Dale E.",01/03/2023,06/14/2023,02 - NYS,Forrest,Katherine B.,"Forrest,Katherine B.",Resigned,09/11/2018
Subramanian,Arun,"Subramanian,Arun",01/23/2023,03/07/2023,02 - NYS,Nathan,Alison J.,"Nathan,Alison J.",Elevated,03/23/2022
Chung,Cindy K.,"Chung,Cindy K.",01/03/2023,02/13/2023,03 - CCA,Smith,D. Brooks,"Smith,D. Brooks",Senior,12/04/2021
Hall,Jennifer L.,"Hall,Jennifer L.",07/11/2023,10/17/2023,03 - DE,Andrews,Richard G.,"Andrews,Richard G.",Senior,12/31/2023
Farbiarz,Michael,"Farbiarz,Michael",01/03/2023,05/02/2023,03 - NJ,Hillman,Noel Lawrence,"Hillman,Noel Lawrence",Senior,04/04/2022
Kirsch,Robert,"Kirsch,Robert",01/03/2023,05/02/2023,03 - NJ,Wolfson,Freda L.,"Wolfson,Freda L.",Retired,02/01/2023
Semper,Jamel,"Semper,Jamel",09/18/2023,11/29/2023,03 - NJ,Vazquez,John Michael,"Vazquez,John Michael",Resigned,09/08/2023
Munley,Julia Kathleen,"Munley,Julia Kathleen",05/04/2023,10/17/2023,03 - PAM,Mariani,Robert D.,"Mariani,Robert D.",Senior,09/30/2022
Benjamin,DeAndrea Gist,"Benjamin,DeAndrea Gist",01/03/2023,02/09/2023,04 - CCA,Floyd,Henry F.,"Floyd,Henry F.",Senior,12/31/2021
Hurson,Brendan Abell,"Hurson,Brendan Abell",03/21/2023,10/04/2023,04 - MD,Hazel,George Jarrod,"Hazel,George Jarrod",Resigned,02/24/2023
Maddox,Matthew James,"Maddox,Matthew James",03/21/2023,10/31/2023,04 - MD,Grimm,Paul W.,"Grimm,Paul W.",Senior,12/11/2022
Walker,Jamar K.,"Walker,Jamar K.",01/03/2023,02/28/2023,04 - VAE,Jackson,Raymond Alvin,"Jackson,Raymond Alvin",Senior,11/23/2021
Ballou,Robert Stewart,"Ballou,Robert Stewart",01/23/2023,03/07/2023,04 - VAW,Jones,James P.,"Jones,James P.",Senior,08/30/2021
Papillion,Darrel James,"Papillion,Darrel James",03/21/2023,05/30/2023,05 - LAE,Barbier,Carl J.,"Barbier,Carl J.",Senior,01/01/2023
Bloomekatz,Rachel,"Bloomekatz,Rachel",01/03/2023,07/18/2023,06 - CCA,Cole Jr.,Ransey Guy,"Cole Jr.,Ransey Guy",Senior,01/09/2023
DeClercq,Susan Kim,"DeClercq,Susan Kim",05/04/2023,10/04/2023,06 - MIE,Davis,Stephanie Dawkins,"Davis,Stephanie Dawkins",Elevated,05/24/2022
Grey,Jonathan James Canada,"Grey,Jonathan James Canada",01/23/2023,03/02/2023,06 - MIE,Hood,Denise Page,"Hood,Denise Page",Senior,05/01/2022
McMillion,Brandy R.,"McMillion,Brandy R.",07/11/2023,11/09/2023,06 - MIE,Drain,Gershwin A.,"Drain,Gershwin A.",Senior,08/13/2022
Lawless,Colleen R.,"Lawless,Colleen R.",01/23/2023,03/02/2023,07 - ILC,Myerscough,Sue E.,"Myerscough,Sue E.",Senior,03/02/2023
Cummings,Jeffrey Irvine,"Cummings,Jeffrey Irvine",01/31/2023,09/12/2023,07 - ILN,,,,New Position,12/05/2022
Daniel,Jeremy C.,"Daniel,Jeremy C.",03/21/2023,05/17/2023,07 - ILN,Feinerman,Gary,"Feinerman,Gary",Resigned,12/31/2022
Hunt,LaShonda A.,"Hunt,LaShonda A.",01/31/2023,05/04/2023,07 - ILN,Norgle Sr.,Charles R.,"Norgle Sr.,Charles R.",Senior,10/04/2022
Jenkins,Lindsay C.,"Jenkins,Lindsay C.",01/03/2023,02/14/2023,07 - ILN,Lee,John Z.,"Lee,John Z.",Elevated,09/07/2022
Brookman,Matthew P.,"Brookman,Matthew P.",01/03/2023,03/29/2023,07 - INS,Young,Richard L.,"Young,Richard L.",Senior,03/29/2023
Bryan,Jeffrey M.,"Bryan,Jeffrey M.",07/27/2023,11/28/2023,08 - MN,Tunheim,John R.,"Tunheim,John R.",Senior,11/28/2023
Almadani,Monica Ramirez,"Almadani,Monica Ramirez",01/23/2023,11/09/2023,09 - CAC,Kronstadt,John A.,"Kronstadt,John A.",Senior,04/01/2022
Hsu,Wesley L.,"Hsu,Wesley L.",01/23/2023,05/03/2023,09 - CAC,Phillips,Virginia Anne,"Phillips,Virginia Anne",Senior,02/14/2022
Kato,Kenly Kiya,"Kato,Kenly Kiya",01/03/2023,11/07/2023,09 - CAC,O'Connell,Beverly Reid,"O'Connell,Beverly Reid",Deceased,10/08/2017
Vera,Hernan D.,"Vera,Hernan D.",01/03/2023,06/13/2023,09 - CAC,Morrow,Margaret M.,"Morrow,Margaret M.",Senior,10/29/2015
Calabretta,Daniel J.,"Calabretta,Daniel J.",01/03/2023,02/16/2023,09 - CAE,Mendez,John A.,"Mendez,John A.",Senior,04/17/2022
Lin,Rita F.,"Lin,Rita F.",01/23/2023,09/19/2023,09 - CAN,Chen,Edward M.,"Chen,Edward M.",Senior,05/17/2022
Martinez-Olguin,Araceli,"Martinez-Olguin,Araceli",01/03/2023,02/28/2023,09 - CAN,White,Jeffrey Steven,"White,Jeffrey Steven",Senior,02/01/2021
Pitts,P. Casey,"Pitts,P. Casey",01/23/2023,06/14/2023,09 - CAN,Koh,Lucy H.,"Koh,Lucy H.",Elevated,12/13/2021
Schopler,Andrew G.,"Schopler,Andrew G.",01/23/2023,03/07/2023,09 - CAS,Burns,Larry A.,"Burns,Larry A.",Senior,01/22/2021
Simmons Jr.,James Edward,"Simmons Jr.,James Edward",01/23/2023,03/09/2023,09 - CAS,Battaglia,Anthony J.,"Battaglia,Anthony J.",Senior,03/31/2021
Johnstone,Anthony Devos,"Johnstone,Anthony Devos",01/03/2023,05/01/2023,09 - CCA,Thomas,Sidney R.,"Thomas,Sidney R.",Senior,05/01/2023
de Alba,Ana,"de Alba,Ana",04/17/2023,11/13/2023,09 - CCA,Watford,Paul J.,"Watford,Paul J.",Resigned,05/31/2023
Park,Shanlyn A.S.,"Park,Shanlyn A.S.",09/27/2023,11/30/2023,09 - HI,Kobayashi,Leslie E.,"Kobayashi,Leslie E.",Senior,10/09/2024
Smith,Micah W.J.,"Smith,Micah W.J.",09/11/2023,11/29/2023,09 - HI,Seabright,J. Michael,"Seabright,J. Michael",Senior,01/30/2024
Brailsford,Amanda K.,"Brailsford,Amanda K.",01/31/2023,05/04/2023,09 - ID,Winmill,Barry Lynn,"Winmill,Barry Lynn",Senior,08/16/2021
Nelson,Adrienne C.,"Nelson,Adrienne C.",01/03/2023,02/15/2023,09 - OR,Mosman,Michael W.,"Mosman,Michael W.",Senior,12/27/2021
Cartwright,Tiffany M.,"Cartwright,Tiffany M.",01/03/2023,07/12/2023,09 - WAW,Settle,Benjamin Hale,"Settle,Benjamin Hale",Senior,01/01/2020
Evanson,Kymberly Kathryn,"Evanson,Kymberly Kathryn",01/23/2023,07/11/2023,09 - WAW,Martinez,Ricardo S.,"Martinez,Ricardo S.",Senior,09/05/2022
Whitehead,Jamal N.,"Whitehead,Jamal N.",01/03/2023,02/28/2023,09 - WAW,Jones,Richard A.,"Jones,Richard A.",Senior,09/05/2022
Gallagher,Gordon P.,"Gallagher,Gordon P.",01/23/2023,03/22/2023,10 - CO,Martinez,William Joseph,"Martinez,William Joseph",Senior,02/10/2023
Garcia,Matthew L.,"Garcia,Matthew L.",01/03/2023,02/14/2023,10 - NM,Herrera,Judith C.,"Herrera,Judith C.",Senior,07/01/2019
Abudu,Nancy G.,"Abudu,Nancy G.",01/03/2023,05/18/2023,11 - CCA,Martin,Beverly B.,"Martin,Beverly B.",Retired,09/30/2021
Hadji,Philip S.,"Hadji,Philip S.",06/08/2023,09/21/2023,CL,Griggsby,Lydia Kay,"Griggsby,Lydia Kay",Elevated,06/16/2021
