Court,Incumbent,Vacancy Reason,Vacancy Date,Nominee,Nomination date
01 - CCA,"Howard,Jeffrey R.",Senior,03/31/2022,"Aframe,Seth Robert",10/04/2023
02 - CT,"Merriam,Sarah A. L.",Elevated,09/15/2022,"Russell,Sarah French",10/04/2023
02 - NY-S,"Gardephe,Paul G.",Senior,08/09/2023,,
02 - NY-W,"Geraci Jr.,Frank Paul",Senior,04/01/2023,"Holland,Colleen Danielle",09/11/2023
03 - CCA,"Greenaway Jr.,Joseph A.",Retired,06/15/2023,"Mangi,Adeel Abdullah",11/27/2023
03 - NJ,"McNulty,Kevin",Senior,10/31/2023,"Kiel,Edward Sunyol",10/04/2023
03 - PA-E,"Rufe,Cynthia M.",Senior,12/31/2021,,
03 - PA-E,"Smith,Edward G.",Deceased,11/27/2023,,
03 - PA-M,"Jones III,John E.",Retired,08/01/2021,"Mehalchick,Karoline",07/11/2023
04 - CCA,"Motz,Diana Gribbon",Senior,09/30/2022,"Berner,Nicole G.",11/27/2023
04 - NC-W,"Conrad Jr.,Robert James",Senior,05/17/2023,,
04 - SC,"Childs,J. Michelle",Elevated,07/19/2022,"Austin,Jacquelyn D.",11/06/2023
05 - CCA,"Costa,Gregg Jeffrey",Resigned,08/31/2022,"Ramirez,Irma Carrillo",04/17/2023
05 - LA-E,"Feldman,Martin L. C.",Deceased,01/26/2022,"Long,Brandon S.",06/08/2023
05 - LA-W,"Foote,Elizabeth E.",Senior,01/21/2022,,
05 - LA-W,"Juneau,Michael Joseph",Senior,02/01/2022,"Edwards,Jr.,Jerry",06/08/2023
05 - MS-N,"Mills,Michael P.",Senior,11/01/2021,"Colom,Scott Winston",01/23/2023
05 - TX-N,"Lynn,Barbara M. G.",Senior,05/15/2023,,
05 - TX-S,"Hughes,Lynn N.",Senior,02/12/2023,,
05 - TX-S,"Alvarez,Micaela",Senior,06/08/2023,,
05 - TX-S,"Gilmore,Vanessa D.",Retired,01/02/2022,"Kazen,John A.",09/11/2023
05 - TX-W,"Montalvo,Frank",Senior,12/01/2022,,
05 - TX-W,"Yeakel III,Earl L.",Retired,05/01/2023,,
05 - TX-W,"Martinez,Philip R.",Deceased,02/26/2021,,
05 - TX-W,"Guaderrama,David C.",Senior,05/27/2023,,
06 - MI-E,"Borman,Paul D.",Senior,08/01/2023,,
06 - OH-N,"Gaughan,Patricia A.",Senior,10/01/2023,,
06 - TN-W,"Fowlkes Jr.,John Thomas",Senior,09/01/2022,,
07 - CCA,"Kanne,Michael S.",Deceased,06/16/2022,"Kolar,Joshua Paul",07/27/2023
07 - IN-N,"Springmann,Theresa Lazar",Senior,01/23/2021,"Brisco,Cristal C.",11/27/2023
07 - IN-N,"DeGuilio,Jon E.",Senior,07/17/2023,"Lund,Gretchen S.",11/27/2023
07 - WI-E,"Griesbach,William C.",Senior,12/31/2019,,
08 - AR-W,"Holmes III,Paul Kinloch",Senior,11/10/2021,,
08 - MO-E,"Fleissig,Audrey G.",Senior,04/14/2023,,
08 - MO-E,"Ross,John Andrew",Senior,06/09/2023,,
08 - MO-E,"Sippel,Rodney W.",Senior,01/28/2023,,
08 - NE,"Gerrard,John M.",Senior,02/06/2023,,
08 - SD,"Viken,Jeffrey L.",Senior,10/01/2021,,
09 - AK,"Burgess,Timothy",Senior,12/31/2021,,
09 - CA-C,"Wu,George H.",Senior,11/03/2023,,
09 - CA-E,"de Alba,Ana I.",Elevated,11/13/2023,"Sherriff,Kirk Edward",11/15/2023
09 - CA-N,"Orrick III,William H.",Senior,05/17/2023,"Lee,Eumi K.",07/27/2023
09 - CA-S,"Curiel,Gonzalo P.",Senior,09/07/2023,,
09 - CA-S,"Hayes,William Q.",Senior,08/01/2021,"Gaston,Marian F.",01/23/2023
09 - WA-E,"Mendoza Jr.,Salvador",Elevated,09/12/2022,"Bjelkengren,Charnelle",01/23/2023
10 - CCA,"Briscoe,Mary Beck",Senior,03/15/2021,"Federico,Richard E.N.",07/27/2023
10 - CO,"Moore,Raymond P.",Senior,06/20/2023,"Crews,S. Kato",02/27/2023
10 - KS,"Robinson,Julie A.",Senior,01/14/2022,,
10 - OK-N,"Eagan,Claire V.",Senior,10/01/2022,"Hill,Sara E.",10/24/2023
10 - OK-N,"Dowdell,John E.",Senior,06/21/2021,"Russell,John David",10/24/2023
10 - UT,"Nuffer,David O.",Senior,04/02/2022,,
10 - WY,"Freudenthal,Nancy D.",Senior,06/01/2022,,
11 - AL-M,"Brasher,Andrew Lynn",Elevated,02/11/2020,,
11 - AL-N,"Kallon,Abdul K.",Resigned,08/31/2022,,
11 - FL-M,"Dalton Jr.,Roy Bale",Senior,07/09/2022,"Sneed,Julie Simone",11/06/2023
11 - FL-S,"Scola Jr.,Robert N.",Senior,10/31/2023,,
11 - FL-S,"Cooke,Marcia G.",Senior,07/15/2022,"Becerra,Jacqueline",11/06/2023
11 - FL-S,"Ungaro,Ursula",Senior,05/02/2021,"Damian,Melissa",11/06/2023
11 - FL-S,"Moreno,Federico A.",Senior,07/17/2020,"Leibowitz,David Seymour",11/06/2023
CL,"Campbell-Smith,Patricia",Retired,09/30/2023,,
DC - DC,"Jackson,Amy Berman",Senior,05/01/2023,"AliKhan,Loren L.",05/04/2023
DC - DC,"Pan,Florence Y.",Elevated,09/20/2022,"Edelman,Todd E.",01/23/2023
IT,"Stanceu,Timothy C.",Senior,04/05/2021,"Laroski,Jr.,Joseph Albert",07/11/2023
IT,"Gordon,Leo M.",Senior,03/22/2019,"Wang,Lisa W.",07/11/2023
