State,Number_of_female_judges,Gender
Alaska,1,Number of female judges: 1
Arizona,7,Number of female judges: 7
Central California,12,Number of female judges: 12
Central Illinois,3,Number of female judges: 3
Colorado,5,Number of female judges: 5
Connecticut,5,Number of female judges: 5
D Columbia,11,Number of female judges: 11
Delaware,2,Number of female judges: 2
Eastern North Carolina,1,Number of female judges: 1
Eastern Pennsylvania,10,Number of female judges: 10
Eastern Tennessee,1,Number of female judges: 1
Eastern Texas,1,Number of female judges: 1
Eastern Virginia,6,Number of female judges: 6
Eastern Washington,2,Number of female judges: 2
Eastern Wisconsin,1,Number of female judges: 1
Eastern Arkansas,2,Number of female judges: 2
Eastern California,2,Number of female judges: 2
Eastern Illinois all names,1,Number of female judges: 1
Eastern Kentucky,2,Number of female judges: 2
Eastern Louisiana,7,Number of female judges: 7
Eastern Michigan,9,Number of female judges: 9
Eastern Missouri,5,Number of female judges: 5
Eastern New Jersey,1,Number of female judges: 1
Eastern New York,18,Number of female judges: 18
Eastern Oklahoma,0,No female judges
Eastern South Carolina,1,Number of female judges: 1
Hawaii,5,Number of female judges: 5
Idaho,1,Number of female judges: 1
Kansas,3,Number of female judges: 3
Maine,1,Number of female judges: 1
Maryland,8,Number of female judges: 8
Massachusetts,8,Number of female judges: 8
Middle North Carolina,2,Number of female judges: 2
Middle Pennsylvania,4,Number of female judges: 4
Middle Tennessee,1,Number of female judges: 1
Middle Alabama,3,Number of female judges: 3
Middle Florida,11,Number of female judges: 11
Middle Georgia,1,Number of female judges: 1
Middle Louisiana,1,Number of female judges: 1
Minnesota,6,Number of female judges: 6
Montana,1,Number of female judges: 1
Nebraska,0,No female judges
Nevada,5,Number of female judges: 5
New Bern Wilmington NorthCarolina,1,Number of female judges: 1
New Hampshire,2,Number of female judges: 2
New Mexico,5,Number of female judges: 5
North Dakota,0,No female judges
Northern Texas,4,Number of female judges: 4
Northern West Virginia,2,Number of female judges: 2
Northern Alabama,7,Number of female judges: 7
Northern California,11,Number of female judges: 11
Northern Florida,1,Number of female judges: 1
Northern Georgia,6,Number of female judges: 6
Northern Illinois,14,Number of female judges: 14
Northern Indiana,2,Number of female judges: 2
Northern Iowa,1,Number of female judges: 1
Northern Mississippi,2,Number of female judges: 2
Northern New York,3,Number of female judges: 3
Northern Ohio,5,Number of female judges: 5
Northern Oklahoma,1,Number of female judges: 1
Oregon,4,Number of female judges: 4
Orleans names,1,Number of female judges: 1
Puerto Rico,5,Number of female judges: 5
Rhode Island,2,Number of female judges: 2
South Dakota,1,Number of female judges: 1
Southern Texas,8,Number of female judges: 8
Southern West Virginia,1,Number of female judges: 1
Southern California,7,Number of female judges: 7
Southern Florida,7,Number of female judges: 7
Southern Georgia,1,Number of female judges: 1
Southern Illinois,2,Number of female judges: 2
Southern Indiana,3,Number of female judges: 3
Southern Iowa,2,Number of female judges: 2
Southern Mississippi,1,Number of female judges: 1
Southern New York,17,Number of female judges: 17
Southern Ohio,3,Number of female judges: 3
Utah,2,Number of female judges: 2
Vermont,1,Number of female judges: 1
Western North Carolina,2,Number of female judges: 2
Western Pennsylvania,8,Number of female judges: 8
Western Tennessee,1,Number of female judges: 1
Western Texas,2,Number of female judges: 2
Western Virginia,1,Number of female judges: 1
Western Washington,7,Number of female judges: 7
Western Wisconsin,1,Number of female judges: 1
Western Arkansas,1,Number of female judges: 1
Western Kentucky,2,Number of female judges: 2
Western Louisiana,1,Number of female judges: 1
Western Michigan,3,Number of female judges: 3
Western Missouri,3,Number of female judges: 3
Western New Jersey,1,Number of female judges: 1
Western New York,1,Number of female judges: 1
Western Oklahoma,3,Number of female judges: 3
Western South Carolina,1,Number of female judges: 1
Wyoming,1,Number of female judges: 1
