State,Number of judges,Hispanic judges,African American judges,Indigenous judges,Sentence
Alaska,7,0,0,0,Number of judges: 7
Arizona,24,2,2,1,"Number of judges: 24, African American: 2, Indigenous: 1, Hispanic: 2"
Central California,37,6,8,1,"Number of judges: 37, African American: 8, Indigenous: 1, Hispanic: 6"
Central Illinois,7,0,1,0,"Number of judges: 7, African American: 1, Indigenous: 0, Hispanic: 0"
Colorado,14,2,1,0,"Number of judges: 14, African American: 1, Indigenous: 0, Hispanic: 2"
Connecticut,14,0,4,0,"Number of judges: 14, African American: 4, Indigenous: 0, Hispanic: 0"
D Columbia,28,2,7,0,"Number of judges: 28, African American: 7, Indigenous: 0, Hispanic: 2"
Delaware,6,0,1,0,"Number of judges: 6, African American: 1, Indigenous: 0, Hispanic: 0"
Eastern North Carolina,6,0,0,0,Number of judges: 6
Eastern Pennsylvania,36,2,6,0,"Number of judges: 36, African American: 6, Indigenous: 0, Hispanic: 2"
Eastern Tennessee,10,0,1,0,"Number of judges: 10, African American: 1, Indigenous: 0, Hispanic: 0"
Eastern Texas,10,0,0,0,Number of judges: 10
Eastern Virginia,19,0,6,0,"Number of judges: 19, African American: 6, Indigenous: 0, Hispanic: 0"
Eastern Washington,9,0,0,0,Number of judges: 9
Eastern Wisconsin,5,0,0,0,Number of judges: 5
Eastern Arkansas,7,0,1,0,"Number of judges: 7, African American: 1, Indigenous: 0, Hispanic: 0"
Eastern California,11,1,3,0,"Number of judges: 11, African American: 3, Indigenous: 0, Hispanic: 1"
Eastern Illinois all names,0,0,0,0,Number of judges: 0
Eastern Kentucky,8,0,0,0,Number of judges: 8
Eastern Louisiana,15,0,3,0,"Number of judges: 15, African American: 3, Indigenous: 0, Hispanic: 0"
Eastern Michigan,23,0,5,0,"Number of judges: 23, African American: 5, Indigenous: 0, Hispanic: 0"
Eastern Missouri,15,0,3,0,"Number of judges: 15, African American: 3, Indigenous: 0, Hispanic: 0"
Eastern New Jersey,0,0,0,0,Number of judges: 0
Eastern New York,31,3,5,0,"Number of judges: 31, African American: 5, Indigenous: 0, Hispanic: 3"
Eastern Oklahoma,4,0,0,1,"Number of judges: 4, African American: 0, Indigenous: 1, Hispanic: 0"
Eastern South Carolina,0,0,0,0,Number of judges: 0
Hawaii,10,0,0,0,Number of judges: 10
Idaho,4,0,0,0,Number of judges: 4
Kansas,9,0,1,0,"Number of judges: 9, African American: 1, Indigenous: 0, Hispanic: 0"
Maine,6,0,0,0,Number of judges: 6
Maryland,16,0,2,0,"Number of judges: 16, African American: 2, Indigenous: 0, Hispanic: 0"
Massachusetts,21,0,1,0,"Number of judges: 21, African American: 1, Indigenous: 0, Hispanic: 0"
Middle North Carolina,5,0,1,0,"Number of judges: 5, African American: 1, Indigenous: 0, Hispanic: 0"
Middle Pennsylvania,8,0,0,0,Number of judges: 8
Middle Tennessee,4,0,1,0,"Number of judges: 4, African American: 1, Indigenous: 0, Hispanic: 0"
Middle Alabama,11,0,2,0,"Number of judges: 11, African American: 2, Indigenous: 0, Hispanic: 0"
Middle Florida,28,3,4,0,"Number of judges: 28, African American: 4, Indigenous: 0, Hispanic: 3"
Middle Georgia,7,0,2,0,"Number of judges: 7, African American: 2, Indigenous: 0, Hispanic: 0"
Middle Louisiana,11,0,0,0,Number of judges: 11
Minnesota,16,1,3,0,"Number of judges: 16, African American: 3, Indigenous: 0, Hispanic: 1"
Montana,5,0,0,0,Number of judges: 5
Nebraska,5,0,0,0,Number of judges: 5
Nevada,13,2,1,0,"Number of judges: 13, African American: 1, Indigenous: 0, Hispanic: 2"
New Bern Wilmington NorthCarolina,0,0,0,0,Number of judges: 0
New Hampshire,5,0,0,0,Number of judges: 5
New Mexico,11,6,0,0,"Number of judges: 11, African American: 0, Indigenous: 0, Hispanic: 6"
North Dakota,4,0,0,0,Number of judges: 4
Northern Texas,17,0,1,0,"Number of judges: 17, African American: 1, Indigenous: 0, Hispanic: 0"
Northern West Virginia,5,0,0,0,Number of judges: 5
Northern Alabama,12,0,0,0,Number of judges: 12
Northern California,24,3,5,0,"Number of judges: 24, African American: 5, Indigenous: 0, Hispanic: 3"
Northern Florida,7,0,0,0,Number of judges: 7
Northern Georgia,18,1,4,0,"Number of judges: 18, African American: 4, Indigenous: 0, Hispanic: 1"
Northern Illinois,37,3,7,0,"Number of judges: 37, African American: 7, Indigenous: 0, Hispanic: 3"
Northern Indiana,9,0,0,0,Number of judges: 9
Northern Iowa,3,0,0,0,Number of judges: 3
Northern Mississippi,4,0,1,0,"Number of judges: 4, African American: 1, Indigenous: 0, Hispanic: 0"
Northern New York,9,0,0,0,Number of judges: 9
Northern Ohio,19,1,3,0,"Number of judges: 19, African American: 3, Indigenous: 0, Hispanic: 1"
Northern Oklahoma,6,0,0,0,Number of judges: 6
Oregon,11,1,2,0,"Number of judges: 11, African American: 2, Indigenous: 0, Hispanic: 1"
Orleans names,0,0,0,0,Number of judges: 0
