Court Name_x,Court Website,Standardized_Court_Name,Court Name_y,Gender,Sentence,Percentage_Female_Judges,Percentage_White_Judges
Alabama Middle,https://www.almd.uscourts.gov,Alabama Middle,Middle Alabama,"Middle Alabama, Share of female judges: 27.0%, Share of white judges: 82.0","Number of judges: 11, African American: 2, Indigenous: 0, Hispanic: 0",27.0,82.0
Alabama Northern,https://www.alnd.uscourts.gov,Alabama Northern,Northern Alabama,"Northern Alabama, Share of female judges: 58.0%, Share of white judges: 100.0",Number of judges: 12,58.0,100.0
Alabama Southern,https://www.alsd.uscourts.gov,Alabama Southern,Alabama Southern,"Southern Alabama, Share of female judges: 33.0%, Share of white judges: 83.0%","Number of judges: 6, African American: 1",33.0,83.0
Alaska,https://www.akd.uscourts.gov,Alaska,Alaska,"Alaska, Share of female judges: 14.0%, Share of white judges: 100.0",Number of judges: 7,14.0,100.0
Arizona,https://www.azd.uscourts.gov,Arizona,Arizona,"Arizona, Share of female judges: 29.0%, Share of white judges: 75.0","Number of judges: 24, African American: 2, Indigenous: 1, Hispanic: 2",29.0,75.0
Arkansas Eastern,https://www.are.uscourts.gov,Arkansas Eastern,Eastern Arkansas,"Eastern Arkansas, Share of female judges: 29.0%, Share of white judges: 86.0","Number of judges: 7, African American: 1, Indigenous: 0, Hispanic: 0",29.0,86.0
Arkansas Western,https://www.arwd.uscourts.gov,Arkansas Western,Western Arkansas,"Western Arkansas, Share of female judges: 20.0%, Share of white judges: 100.0",Number of judges: 5,20.0,100.0
California Central,https://www.cacd.uscourts.gov,California Central,Central California,"Central California, Share of female judges: 32.0%, Share of white judges: 49.0","Number of judges: 37, African American: 8, Indigenous: 1, Hispanic: 6",32.0,49.0
California Eastern,https://www.caed.uscourts.gov,California Eastern,Eastern California,"Eastern California, Share of female judges: 18.0%, Share of white judges: 55.0","Number of judges: 11, African American: 3, Indigenous: 0, Hispanic: 1",18.0,55.0
California Northern,https://www.cand.uscourts.gov,California Northern,Northern California,"Northern California, Share of female judges: 46.0%, Share of white judges: 54.0","Number of judges: 24, African American: 5, Indigenous: 0, Hispanic: 3",46.0,54.0
California Southern,https://www.casd.uscourts.gov,California Southern,Southern California,"Southern California, Share of female judges: 30.0%, Share of white judges: 61.0","Number of judges: 23, African American: 2, Indigenous: 0, Hispanic: 4",30.0,61.0
Colorado,http://www.cod.uscourts.gov/Home.aspx,Colorado,Colorado,"Colorado, Share of female judges: 36.0%, Share of white judges: 64.0","Number of judges: 14, African American: 1, Indigenous: 0, Hispanic: 2",36.0,64.0
Connecticut,https://www.ctd.uscourts.gov,Connecticut,Connecticut,"Connecticut, Share of female judges: 36.0%, Share of white judges: 57.0","Number of judges: 14, African American: 4, Indigenous: 0, Hispanic: 0",36.0,57.0
Delaware,https://www.ded.uscourts.gov,Delaware,Delaware,"Delaware, Share of female judges: 33.0%, Share of white judges: 83.0","Number of judges: 6, African American: 1, Indigenous: 0, Hispanic: 0",33.0,83.0
Florida Middle,https://www.flmd.uscourts.gov,Florida Middle,Middle Florida,"Middle Florida, Share of female judges: 39.0%, Share of white judges: 75.0","Number of judges: 28, African American: 4, Indigenous: 0, Hispanic: 3",39.0,75.0
Florida Northern,http://www.flnd.uscourts.gov,Florida Northern,Northern Florida,"Northern Florida, Share of female judges: 14.0%, Share of white judges: 100.0",Number of judges: 7,14.0,100.0
Florida Southern,https://www.flsd.uscourts.gov,Florida Southern,Southern Florida,"Southern Florida, Share of female judges: 26.0%, Share of white judges: 59.0","Number of judges: 27, African American: 3, Indigenous: 0, Hispanic: 6",26.0,59.0
Georgia Middle,https://www.gamd.uscourts.gov,Georgia Middle,Middle Georgia,"Middle Georgia, Share of female judges: 14.0%, Share of white judges: 71.0","Number of judges: 7, African American: 2, Indigenous: 0, Hispanic: 0",14.0,71.0
Georgia Northern,https://www.gand.uscourts.gov,Georgia Northern,Northern Georgia,"Northern Georgia, Share of female judges: 33.0%, Share of white judges: 72.0","Number of judges: 18, African American: 4, Indigenous: 0, Hispanic: 1",33.0,72.0
Georgia Southern,https://www.gasd.uscourts.gov,Georgia Southern,Southern Georgia,"Southern Georgia, Share of female judges: 20.0%, Share of white judges: 100.0",Number of judges: 5,20.0,100.0
Guam,https://www.gud.uscourts.gov,Guam,,,,,
Hawaii,https://www.hid.uscourts.gov,Hawaii,Hawaii,"Hawaii, Share of female judges: 50.0%, Share of white judges: 40.0",Number of judges: 10,50.0,40.0
Idaho,https://www.id.uscourts.gov,Idaho,Idaho,"Idaho, Share of female judges: 25.0%, Share of white judges: 100.0",Number of judges: 4,25.0,100.0
Illinois Central,https://www.ilcd.uscourts.gov,Central Illinois,Central Illinois,"Central Illinois, Share of female judges: 43.0%, Share of white judges: 86.0","Number of judges: 7, African American: 1, Indigenous: 0, Hispanic: 0",43.0,86.0
Illinois Northern,https://www.ilnd.uscourts.gov,Illinois Northern,Northern Illinois,"Northern Illinois, Share of female judges: 38.0%, Share of white judges: 62.0","Number of judges: 37, African American: 7, Indigenous: 0, Hispanic: 3",38.0,62.0
Illinois Southern,https://www.ilsd.uscourts.gov,Illinois Southern,Southern Illinois,"Southern Illinois, Share of female judges: 40.0%, Share of white judges: 60.0","Number of judges: 5, African American: 1, Indigenous: 0, Hispanic: 0",40.0,60.0
Indiana Northern,https://www.innd.uscourts.gov,Indiana Northern,Northern Indiana,"Northern Indiana, Share of female judges: 22.0%, Share of white judges: 100.0",Number of judges: 9,22.0,100.0
Indiana Southern,https://www.insd.uscourts.gov,Indiana Southern,Southern Indiana,"Southern Indiana, Share of female judges: 38.0%, Share of white judges: 88.0","Number of judges: 8, African American: 1, Indigenous: 0, Hispanic: 0",38.0,88.0
Iowa Northern,https://www.iand.uscourts.gov,Iowa Northern,Northern Iowa,"Northern Iowa, Share of female judges: 33.0%, Share of white judges: 100.0",Number of judges: 3,33.0,100.0
Iowa Southern,https://www.iasd.uscourts.gov,Iowa Southern,Southern Iowa,"Southern Iowa, Share of female judges: 33.0%, Share of white judges: 100.0",Number of judges: 6,33.0,100.0
Kansas,https://www.ksd.uscourts.gov,Kansas,Kansas,"Kansas, Share of female judges: 33.0%, Share of white judges: 89.0","Number of judges: 9, African American: 1, Indigenous: 0, Hispanic: 0",33.0,89.0
Kentucky Eastern,https://www.kyed.uscourts.gov,Eastern Kentucky,Eastern Kentucky,"Eastern Kentucky, Share of female judges: 25.0%, Share of white judges: 100.0",Number of judges: 8,25.0,100.0
Kentucky Western,https://www.kywd.uscourts.gov,Kentucky Western,Western Kentucky,"Western Kentucky, Share of female judges: 29.0%, Share of white judges: 100.0",Number of judges: 7,29.0,100.0
Louisiana Eastern,https://www.laed.uscourts.gov,Eastern Louisiana,Eastern Louisiana,"Eastern Louisiana, Share of female judges: 47.0%, Share of white judges: 80.0","Number of judges: 15, African American: 3, Indigenous: 0, Hispanic: 0",47.0,80.0
Louisiana Middle,https://www.lamd.uscourts.gov,Louisiana Middle,Middle Louisiana,"Middle Louisiana, Share of female judges: 9.0%, Share of white judges: 100.0",Number of judges: 11,9.0,100.0
Louisiana Western,https://www.lawd.uscourts.gov,Louisiana Western,Western Louisiana,"Western Louisiana, Share of female judges: 9.0%, Share of white judges: 100.0",Number of judges: 11,9.0,100.0
Maine,https://www.med.uscourts.gov,Maine,Maine,"Maine, Share of female judges: 17.0%, Share of white judges: 100.0",Number of judges: 6,17.0,100.0
Maryland,https://www.mdd.uscourts.gov,Maryland,Maryland,"Maryland, Share of female judges: 50.0%, Share of white judges: 75.0","Number of judges: 16, African American: 2, Indigenous: 0, Hispanic: 0",50.0,75.0
