Names,Race or Ethnicity
"Abrams, Ronnie",White
"Adams, John R.",White
"Adelman, Lynn S.",White
"Africk, Lance M.",White
"Agee, G. Steven",White
"Aiken, Ann L.",White
"Albright, Alan D",White
"Albritton, William Harold III",White
"Alito, Samuel A., Jr.",White
"Alley, Wayne Edward",White
"Alsop, Donald Douglas",White
"Alsup, William Haskell",White
"Ambro, Thomas L.",White
"Ambrose, Donetta W.",White
"Amon, Carol Bagley",White
"Anderson, Joseph Fletcher, Jr.",White
"Anderson, R[obert] Lanier III",White
"Anderson, Stanley Thomas",White
"Anderson, Stephen Hale",White
"Andrews, Richard Gibson",White
"Anello, Michael M.",White
"Antoon, John II",White
"Aquilino, Thomas Joseph, Jr.",White
"Arcara, Richard Joseph",White
"Arleo, Madeline Cox",White
"Arnold, Morris Sheppard",White
"Arterton, Janet Bond",White
"Ashe, Barry Weldon",White
"Aspen, Marvin E.",White
"Atchley, Charles Edward, Jr.",White
"Axon, Annemarie Carney",White
"Aycock, Sharion",White
"Azrack, Joan Marie",White
"Babcock, Lewis Thornton",White
"Bacharach, Robert Edwin",White
"Badalamenti, John Leonard",White
"Bade, Bridget Shelton",White
"Bailey, John Preston",White
"Baker, Kristine Gerhard",White
"Baker, M. Miller",White
"Baker, R. Stan",White
"Baldock, Bobby Ray",White
"Ballou, Robert Stewart",White
"Barbadoro, Paul J.",White
"Barber, Thomas Patrick",White
"Barbier, Carl J.",White
"Barker, J. Campbell",White
"Barker, Pamela Ann",White
"Barker, Sarah Evans",White
"Barksdale, Rhesa Hawkins",White
"Barlow, David Bruce",White
"Barnett, Mark Allen",White
"Barrett, Amy Coney",White
"Barrett, Michael Ryan",White
"Barron, David Jeremiah",White
"Bartle, Harvey III",White
"Barzilay, Judith Morgenstern",White
"Bashant, Cynthia Ann",White
"Bastian, Stanley Allen",White
"Bataillon, Joseph F.",White
"Batchelder, Alice Moore",White
"Bates, John D.",White
"Battaglia, Anthony Joseph",White
"Batten, Timothy C., Sr.",White
"Bauer, William Joseph",White
"Baxter, Susan Paradise",White
"Baylson, Michael M.",White
"Beam, C[larence] Arlen",White
"Beaton, Benjamin Joel",White
"Beaverstock, Jeffrey Uhlman",White
"Beckering, Jane Marie",White
"Beckwith, Sandra Shank",White
"Behm, Frances Kay",White
"Beistline, Ralph R.",White
"Bell, Kenneth Davis, Sr.",White
"Belot, Monti L.",White
"Bencivengo, Cathy Ann",White
"Bennett, Mark Jeremy",White
"Bennett, Richard D.",White
"Benton, William Duane",White
"Berg, Terrence George",White
"Berger, Wendy Williams",White
"Berman, Richard M.",White
"Berrigan, Helen Ginger",White
"Bertelsman, William Odis",White
"Berzon, Marsha Siegel",White
"Bianco, Joseph Frank",White
"Bibas, Stephanos",White
"Biery, Samuel Frederick, Jr.",White
"Black, Susan Harrell",White
"Black, Timothy Seymour",White
"Blackburn, Robert E.",White
"Blackburn, Sharon Lovelace",White
"Blake, Catherine C.",White
"Blakey, John Robert",White
"Bloch, Alan Neil",White
"Block, Frederic",White
"Bloom, Beth Francine",White
"Bloomekatz, Rachel Sarah",White
"Blumenfeld, Stanley, Jr.",White
"Boardman, Deborah Lynn",White
"Boasberg, James Emanuel",White
"Boggs, Danny Julian",White
"Bolton, Susan Ritchie",White
"Boom, Claria Horn",White
"Borman, Paul D.",White
"Bough, Stephen Rogers",White
"Boulee, Jean-Paul",White
"Bowdre, Karon O.",White
"Bowen, Dudley Hollingsworth, Jr.",White
"Bowman, Pasco Middleton II",White
"Boyko, Christopher A.",White
"Boyle, Jane J.",White
"Boyle, Terrence William",White
"Brack, Robert C.",White
"Brady, Holly Ann",White
"Brailsford, Amanda Kathleen",White
"Bramlette, David C.",White
"Branch, Elizabeth Lee",White
"Brann, Matthew William",White
"Brasel, Nancy Ellen",White
"Brasher, Andrew Lynn",White
"Bredar, James Kelleher",White
"Breen, J. Daniel",White
"Brennan, Bridget Meehan",White
"Brennan, Michael Brian",White
"Bress, Daniel Aaron",White
"Breyer, Charles R.",White
"Breyer, Stephen Gerald",White
"Briccetti, Vincent Louis",White
"Brimmer, Philip A.",White
"Brinkema, Leonie M.",White
"Briscoe, Mary Beck",White
"Britt, William Earl",White
"Brnovich, Susan Marie",White
"Brody, Anita Blumstein",White
"Brookman, Matthew Paul",White
"Brooks, Timothy Lloyd",White
"Broomes, John Wesley",White
"Brorby, Wade",White
"Brown, Anna J.",White
"Brown, Gary Richard",White
"Brown, Jeffrey Vincent",White
"Brown, Michael Lawrence",White
"Browning, James O.",White
"Bruce, Colin Stirling",White
"Bryan, Robert Jensen",White
"Bryson, William Curtis",White
"Buchwald, Naomi Reice",White
"Bucklew, Susan C.",White
"Bucklo, Elaine E.",White
"Buckwalter, Ronald Lawrence",White
"Buescher, Brian Craig",White
"Bumb, Renée Marie",White
"Bunning, David L.",White
"Burgess, Timothy Mark",White
"Burke, Liles Clifton",White
"Burns, Larry Alan",White
"Burroughs, Allison Dale",White
"Bury, David C.",White
"Bush, John Kenneth",White
"Butler, Charles Randolph, Jr.",White
"Bybee, Jay S.",White
"Byron, Paul Gregory",White
"Cain, James David, Jr.",White
"Cain, Timothy Martin",White
"Calabrese, J. Philip",White
"Calabresi, Guido",White
"Calabretta, Daniel Joe Powell",White
"Caldwell, Karen K.",White
"Campbell, David G.",White
"Campbell, Levin Hicks",White
"Campbell, Tena",White
"Campbell, William Lynn, Jr.",White
"Canby, William Cameron, Jr.",White
"Caproni, Valerie Elaine",White
"Carnes, Edward Earl",White
"Carnes, Julie E.",White
"Carney, Cormac J.",White
"Carney, Susan Laura",White
"Carr, James G.",White
"Carson, Joel McElroy III",White
"Carter, David O.",White
"Cartwright, Tiffany Mae",White
"Castel, P. Kevin",White
"Castner, Georgette",White
"Cauthron, Robin J.",White
"Cecchi, Claire Claudia",White
"Cercone, David S.",White
"Chagares, Michael A.",White
"Chambers, Robert Charles",White
"Chappell, Sheri Polster",White
"Chasanow, Deborah K.",White
"Chatigny, Robert N.",White
