State,Names,Gender
Alaska,"Burgess, Timothy Mark",Male
Alaska,"Gleason, Sharon Louise",Female
Alaska,"Holland, H[ezekiah] Russel",Male
Alaska,"Kindred, Joshua Michael",Male
Alaska,"Sedwick, John W.",Male
Alaska,"Singleton, James Keith, Jr.",Male
Alaska,"Beistline, Ralph R.",Male
Arizona,"Bolton, Susan Ritchie",Female
Arizona,"Zipps, Jennifer Guerin",Female
Arizona,"Zapata, Frank R.",Male
Arizona,"Wake, Neil Vincent",Male
Arizona,"Tuchi, John Joseph",Male
Arizona,"Teilborg, James A.",Male
Arizona,"Snow, G. Murray",Male
Arizona,"Silver, Roslyn O.",Female
Arizona,"Humetewa, Diane Joyce",Female
Arizona,"Jorgenson, Cindy K.",Female
Arizona,"Lanza, Dominic William",Male
Arizona,"Liburdi, Michael Thomas",Male
Arizona,"Logan, Steven Paul",Male
Arizona,"Márquez, Rosemary",Female
Arizona,"Martone, Frederick J.",Male
Arizona,"McNamee, Stephen M.",Male
Arizona,"Soto, James Alan",Male
Arizona,"Rash, Scott Hugh",Male
Arizona,"Rayes, Douglas Leroy",Male
Arizona,"Brnovich, Susan Marie",Female
Arizona,"Bury, David C.",Male
Arizona,"Campbell, David G.",Male
Arizona,"Collins, Raner Christercunean",Male
Arizona,"Hinderaker, John Charles",Male
Central California,"Holcomb, John William",Male
Central California,"Pregerson, Dean D.",Male
Central California,"Scarsi, Mark Christopher",Male
Central California,"Selna, James V.",Male
Central California,"Slaughter, Fred Wallace",Male
Central California,"Snyder, Christina A.",Female
Central California,"Staton, Josephine L.",Female
Central California,"Walter, John F.",Male
Central California,"Vera, Hernán Diego",Male
Central California,"Phillips, Virginia A.",Female
Central California,"Wilson, Stephen Victor",Male
Central California,"Wright, Otis D. II",Male
Central California,"Wu, George H.",Male
Central California,"Sykes, Sunshine Suzanne",Female
Central California,"Olguin, Fernando Manzano",Male
Central California,"Marshall, Consuelo Bland",Female
Central California,"Kronstadt, John Arnold",Male
Central California,"Hatter, Terry J., Jr.",Male
Central California,"Gutierrez, Philip S.",Male
Central California,"Gee, Dolly Maizie",Female
Central California,"Garnett, Sherilyn Peace",Female
Central California,"Frimpong, Maame Ewusi-Mensah",Female
Central California,"Fitzgerald, Michael Walter",Male
Central California,"Kato, Kenly Kiya",Female
Central California,"Fairbank, Valerie Baker",Female
Central California,"Hsu, Wesley Liu",Male
Central California,"Carter, David O.",Male
Central California,"Blumenfeld, Stanley, Jr.",Male
Central California,"Birotte, Andre, Jr.",Male
Central California,"Bernal, Jesus Gilberto",Male
Central California,"Anderson, Percy",Male
Central California,"Almadani, Monica Ramirez",Female
Central California,"Aenlle-Rocha, Fernando Lazaro",Male
Central California,"Keller, William Duffy",Male
Central California,"Klausner, Robert Gary",Male
Central California,"Carney, Cormac J.",Male
Central California,"Fischer, Dale S.",Female
Central Illinois,"Bruce, Colin Stirling",Male
Central Illinois,"Darrow, Sara Lynn",Female
Central Illinois,"Lawless, Colleen Rae",Female
Central Illinois,"McDade, Joe Billy",Male
Central Illinois,"Mihm, Michael Martin",Male
Central Illinois,"Myerscough, Sue Ellen",Female
Central Illinois,"Shadid, James Edward",Male
Colorado,"Arguello, Christine M.",Female
Colorado,"Babcock, Lewis Thornton",Male
Colorado,"Blackburn, Robert E.",Male
Colorado,"Rodriguez, Regina Marie",Female
Colorado,"Domenico, Daniel Desmond",Male
Colorado,"Gallagher, Gordon Paul",Male
Colorado,"Jackson, Richard Brooke",Male
Colorado,"Kane, John L., Jr.",Male
Colorado,"Krieger, Marcia S.",Female
Colorado,"Martinez, William Joseph",Male
Colorado,"Wang, Nina Nin-Yuen",Female
Colorado,"Sweeney, Charlotte Noelle",Female
Colorado,"Moore, Raymond Paul",Male
Colorado,"Brimmer, Philip A.",Male
Connecticut,"Meyer, Jeffrey Alker",Male
Connecticut,"Dooley, Kari Anne",Female
Connecticut,"Hall, Janet C.",Female
Connecticut,"Shea, Michael P.",Male
Connecticut,"Covello, Alfred V.",Male
Connecticut,"Chatigny, Robert N.",Male
Connecticut,"Bryant, Vanessa Lynne",Female
Connecticut,"Bolden, Victor Allen",Male
Connecticut,"Arterton, Janet Bond",Female
Connecticut,"Thompson, Alvin W.",Male
Connecticut,"Underhill, Stefan R.",Male
Connecticut,"Oliver, Vernon Dion",Male
Connecticut,"Williams, Omar Antonio",Male
Connecticut,"Nagala, Sarala Vidya",Female
D Columbia,"Kollar-Kotelly, Colleen",Female
D Columbia,"Lamberth, Royce C.",Male
D Columbia,"Leon, Richard J.",Male
D Columbia,"McFadden, Trevor Neil",Male
D Columbia,"Mehta, Amit Priyavadan",Male
D Columbia,"Moss, Randolph Daniel",Male
D Columbia,"Nichols, Carl John",Male
D Columbia,"Reyes, Ana Cecilia",Female
D Columbia,"Roberts, Richard W.",Male
D Columbia,"Kennedy, Henry Harold, Jr.",Male
D Columbia,"Boasberg, James Emanuel",Male
D Columbia,"Bates, John D.",Male
D Columbia,"Kelly, Timothy James",Male
D Columbia,"Jackson, Amy Berman",Female
D Columbia,"Huvelle, Ellen Segal",Female
D Columbia,"Howell, Beryl Alaine",Female
D Columbia,"Hogan, Thomas Francis",Male
D Columbia,"AliKhan, Loren Linn",Female
D Columbia,"Friedrich, Dabney Langhorne",Female
D Columbia,"Friedman, Paul L.",Male
D Columbia,"Cooper, Christopher Reid",Male
D Columbia,"Contreras, Rudolph",Male
D Columbia,"Collyer, Rosemary M.",Female
D Columbia,"Cobb, Jia Michelle",Female
D Columbia,"Chutkan, Tanya Sue",Female
D Columbia,"Sullivan, Emmet G.",Male
D Columbia,"Walton, Reggie B.",Male
D Columbia,"Green, Joyce Hens",Female
Delaware,"Connolly, Colm Felix",Male
Delaware,"Andrews, Richard Gibson",Male
Delaware,"Hall, Jennifer Lynne",Female
Delaware,"Longobardi, Joseph J.",Male
Delaware,"Noreika, Maryellen",Female
Delaware,"Williams, Gregory Brian",Male
Eastern North Carolina,"Flanagan, Louise W.",Female
Eastern North Carolina,"Britt, William Earl",Male
Eastern North Carolina,"Dever, James C. III",Male
Eastern North Carolina,"Howard, Malcolm Jones",Male
Eastern North Carolina,"Myers, Richard Ernest II",Male
Eastern North Carolina,"Boyle, Terrence William",Male
Eastern Pennsylvania,"Marston, Karen Spencer",Female
Eastern Pennsylvania,"Savage, Timothy J.",Male
Eastern Pennsylvania,"Sánchez, Juan Ramon",Male
Eastern Pennsylvania,"Rufe, Cynthia M.",Female
