Gender,Male
Male,"Adams, Henry Lee, Jr."
Male,"Adams, John R."
Male,"Adelman, Lynn S."
Male,"Aenlle-Rocha, Fernando Lazaro"
Male,"Africk, Lance M."
Male,"Albright, Alan D"
Male,"Albritton, William Harold III"
Male,"Alley, Wayne Edward"
Male,"Alonso, Jorge Luis"
Male,"Alsop, Donald Douglas"
Male,"Alston, Rossie David, Jr."
Male,"Alsup, William Haskell"
Male,"Altman, Roy Kalman"
Male,"Anderson, Joseph Fletcher, Jr."
Male,"Anderson, Percy"
Male,"Anderson, Stanley Thomas"
Male,"Andrews, Richard Gibson"
Male,"Anello, Michael M."
Male,"Antoon, John II"
Male,"Arcara, Richard Joseph"
Male,"Arias-Marxuach, Raúl Manuel"
Male,"Ashe, Barry Weldon"
Male,"Aspen, Marvin E."
Male,"Atchley, Charles Edward, Jr."
Male,"Autrey, Henry Edward"
Male,"Babcock, Lewis Thornton"
Male,"Badalamenti, John Leonard"
Male,"Bailey, John Preston"
Male,"Baker, R. Stan"
Male,"Ballou, Robert Stewart"
Male,"Barbadoro, Paul J."
Male,"Barber, Thomas Patrick"
Male,"Barbier, Carl J."
Male,"Barker, J. Campbell"
Male,"Barlow, David Bruce"
Male,"Barrett, Michael Ryan"
Male,"Bartle, Harvey III"
Male,"Bastian, Stanley Allen"
Male,"Bataillon, Joseph F."
Male,"Bates, John D."
Male,"Battaglia, Anthony Joseph"
Male,"Batten, Timothy C., Sr."
Male,"Baylson, Michael M."
Male,"Beaton, Benjamin Joel"
Male,"Beaverstock, Jeffrey Uhlman"
Male,"Beistline, Ralph R."
Male,"Bell, Kenneth Davis, Sr."
Male,"Belot, Monti L."
Male,"Benitez, Roger T."
Male,"Bennett, Alfred Homer"
Male,"Bennett, Richard D."
Male,"Berg, Terrence George"
Male,"Berman, Richard M."
Male,"Bernal, Jesus Gilberto"
Male,"Bertelsman, William Odis"
Male,"Besosa, Francisco Augusto"
Male,"Biery, Samuel Frederick, Jr."
Male,"Birotte, Andre, Jr."
Male,"Black, Timothy Seymour"
Male,"Blackburn, Robert E."
Male,"Blackwell, Jerry Wayne"
Male,"Blakey, John Robert"
Male,"Bloch, Alan Neil"
Male,"Block, Frederic"
Male,"Blumenfeld, Stanley, Jr."
Male,"Boasberg, James Emanuel"
Male,"Bolden, Victor Allen"
Male,"Borman, Paul D."
Male,"Bough, Stephen Rogers"
Male,"Boulee, Jean-Paul"
Male,"Boulware, Richard Franklin II"
Male,"Bowen, Dudley Hollingsworth, Jr."
Male,"Boyko, Christopher A."
Male,"Boyle, Terrence William"
Male,"Brack, Robert C."
Male,"Bramlette, David C."
Male,"Brann, Matthew William"
Male,"Bredar, James Kelleher"
Male,"Breen, J. Daniel"
Male,"Breyer, Charles R."
Male,"Briccetti, Vincent Louis"
Male,"Brimmer, Philip A."
Male,"Briones, David"
Male,"Britt, William Earl"
Male,"Broderick, Vernon Speede"
Male,"Brookman, Matthew Paul"
Male,"Brooks, Timothy Lloyd"
Male,"Broomes, John Wesley"
Male,"Brown, Gary Richard"
Male,"Brown, Jeffrey Vincent"
Male,"Brown, Michael Lawrence"
Male,"Browning, James O."
Male,"Bruce, Colin Stirling"
Male,"Bryan, Jeffrey Marc"
Male,"Bryan, Robert Jensen"
Male,"Buckwalter, Ronald Lawrence"
Male,"Buescher, Brian Craig"
Male,"Bunning, David L."
Male,"Burgess, Timothy Mark"
Male,"Burke, Liles Clifton"
Male,"Burns, Larry Alan"
Male,"Burrell, Garland Ellis, Jr."
Male,"Bury, David C."
Male,"Butler, Charles Randolph, Jr."
Male,"Byron, Paul Gregory"
Male,"Cain, James David, Jr."
Male,"Cain, Timothy Martin"
Male,"Calabrese, J. Philip"
Male,"Calabretta, Daniel Joe Powell"
Male,"Campbell, David G."
Male,"Campbell, William Lynn, Jr."
Male,"Carney, Cormac J."
Male,"Carr, James G."
