Men_names
"Adams, Henry Lee, Jr."
"Adams, John R."
"Adelman, Lynn S."
"Aenlle-Rocha, Fernando Lazaro"
"Africk, Lance M."
"Albright, Alan D"
"Albritton, William Harold III"
"Alley, Wayne Edward"
"Alonso, Jorge Luis"
"Alsop, Donald Douglas"
"Alston, Rossie David, Jr."
"Alsup, William Haskell"
"Altman, Roy Kalman"
"Anderson, Joseph Fletcher, Jr."
"Anderson, Percy"
"Anderson, Stanley Thomas"
"Andrews, Richard Gibson"
"Anello, Michael M."
"Antoon, John II"
"Arcara, Richard Joseph"
"Arias-Marxuach, Raúl Manuel"
"Ashe, Barry Weldon"
"Aspen, Marvin E."
"Atchley, Charles Edward, Jr."
"Autrey, Henry Edward"
"Babcock, Lewis Thornton"
"Badalamenti, John Leonard"
"Bailey, John Preston"
"Baker, R. Stan"
"Ballou, Robert Stewart"
"Barbadoro, Paul J."
"Barber, Thomas Patrick"
"Barbier, Carl J."
"Barker, J. Campbell"
"Barlow, David Bruce"
"Barrett, Michael Ryan"
"Bartle, Harvey III"
"Bastian, Stanley Allen"
"Bataillon, Joseph F."
"Bates, John D."
"Battaglia, Anthony Joseph"
"Batten, Timothy C., Sr."
"Baylson, Michael M."
"Beaton, Benjamin Joel"
"Beaverstock, Jeffrey Uhlman"
"Beistline, Ralph R."
"Bell, Kenneth Davis, Sr."
"Belot, Monti L."
"Benitez, Roger T."
"Bennett, Alfred Homer"
"Bennett, Richard D."
"Berg, Terrence George"
"Berman, Richard M."
"Bernal, Jesus Gilberto"
"Bertelsman, William Odis"
"Besosa, Francisco Augusto"
"Biery, Samuel Frederick, Jr."
"Birotte, Andre, Jr."
"Black, Timothy Seymour"
"Blackburn, Robert E."
"Blackwell, Jerry Wayne"
"Blakey, John Robert"
"Bloch, Alan Neil"
"Block, Frederic"
"Blumenfeld, Stanley, Jr."
"Boasberg, James Emanuel"
"Bolden, Victor Allen"
"Borman, Paul D."
"Bough, Stephen Rogers"
"Boulee, Jean-Paul"
"Boulware, Richard Franklin II"
"Bowen, Dudley Hollingsworth, Jr."
"Boyko, Christopher A."
"Boyle, Terrence William"
"Brack, Robert C."
"Bramlette, David C."
"Brann, Matthew William"
"Bredar, James Kelleher"
"Breen, J. Daniel"
"Breyer, Charles R."
"Briccetti, Vincent Louis"
"Brimmer, Philip A."
"Briones, David"
"Britt, William Earl"
"Broderick, Vernon Speede"
"Brookman, Matthew Paul"
"Brooks, Timothy Lloyd"
"Broomes, John Wesley"
"Brown, Gary Richard"
"Brown, Jeffrey Vincent"
"Brown, Michael Lawrence"
"Browning, James O."
"Bruce, Colin Stirling"
"Bryan, Jeffrey Marc"
"Bryan, Robert Jensen"
"Buckwalter, Ronald Lawrence"
"Buescher, Brian Craig"
"Bunning, David L."
"Burgess, Timothy Mark"
"Burke, Liles Clifton"
"Burns, Larry Alan"
"Burrell, Garland Ellis, Jr."
"Bury, David C."
"Butler, Charles Randolph, Jr."
"Byron, Paul Gregory"
"Cain, James David, Jr."
"Cain, Timothy Martin"
"Calabrese, J. Philip"
"Calabretta, Daniel Joe Powell"
"Campbell, David G."
"Campbell, William Lynn, Jr."
"Carney, Cormac J."
"Carr, James G."
"Carter, Andrew Lamar, Jr."
"Carter, David O."
"Castel, P. Kevin"
