State,Names,Gender,Race and Ethnicity
Eastern_Oklahoma,"Heil, John Frederick III",Male,White
Eastern_Oklahoma,"Payne, James H.",Male,White
Eastern_Oklahoma,"Seay, Frank Howell",Male,Indigenous American
Eastern_Oklahoma,"White, Ronald A.",Male,White
Wyoming,"Freudenthal, Nancy Dell",Female,White
Wyoming,"Johnson, Alan Bond",Male,White
Wyoming,"Skavdahl, Scott Wesley",Male,White
Northern_Alabama,"Axon, Annemarie Carney",Female,White
Northern_Alabama,"Blackburn, Sharon Lovelace",Female,White
Northern_Alabama,"Bowdre, Karon O.",Female,White
Northern_Alabama,"Burke, Liles Clifton",Male,White
Northern_Alabama,"Coogler, L. Scott",Male,White
Northern_Alabama,"Haikala, Madeline Hughes",Female,White
Northern_Alabama,"Hopkins, Virginia Emerson",Female,White
Northern_Alabama,"Johnson, Inge Prytz",Female,White
Northern_Alabama,"Manasco, Anna Marie",Female,White
Northern_Alabama,"Maze, Corey Landon",Male,White
Northern_Alabama,"Proctor, R. David",Male,White
Northern_Alabama,"Smith, Charles Lynwood, Jr.",Male,White
Northern West Virginia,"Bailey, John Preston",Male,White
Northern West Virginia,"Groh, Gina Marie",Female,White
Northern West Virginia,"Keeley, Irene Patricia Murphy",Female,White
Northern West Virginia,"Kleeh, Thomas Shawn",Male,White
Northern West Virginia,"Stamp, Frederick Pfarr, Jr.",Male,White
Western_New_York,"Arcara, Richard Joseph",Male,White
Western_New_York,"Geraci, Frank Paul, Jr.",Male,White
Western_New_York,"Larimer, David G.",Male,White
Western_New_York,"Sinatra, John Leonard, Jr.",Male,White
Western_New_York,"Siragusa, Charles J.",Male,White
Western_New_York,"Skretny, William M.",Male,White
Western_New_York,"Vilardo, Lawrence Joseph",Male,White
Western_New_York,"Wolford, Elizabeth Ann",Female,White
Western Pennsylvania,"Ambrose, Donetta W.",Female,White
Western Pennsylvania,"Baxter, Susan Paradise",Female,White
Western Pennsylvania,"Bissoon, Cathy",Female,
Western Pennsylvania,"Bloch, Alan Neil",Male,White
Western Pennsylvania,"Cercone, David S.",Male,White
Western Pennsylvania,"Colville, Robert John",Male,White
Western Pennsylvania,"Conti, Joy Flowers",Female,White
Western Pennsylvania,"Fischer, Nora Barry",Female,White
Western Pennsylvania,"Gibson, Kim R.",Male,White
Western Pennsylvania,"Haines, Stephanie Lou",Female,White
Western Pennsylvania,"Hardy, William Scott",Male,White
Western Pennsylvania,"Horan, Marilyn Jean",Female,White
Western Pennsylvania,"Hornak, Mark Raymond",Male,White
Western Pennsylvania,"Ranjan, J. Nicholas",Male,
Western Pennsylvania,"Schwab, Arthur J.",Male,White
Western Pennsylvania,"Stickman, William Shaw IV",Male,White
Western Pennsylvania,"Wiegand, Christy Criswell",Female,White
Northern_Georgia,"Batten, Timothy C., Sr.",Male,White
Northern_Georgia,"Boulee, Jean-Paul",Male,White
Northern_Georgia,"Brown, Michael Lawrence",Male,White
Northern_Georgia,"Calvert, Victoria Marie",Female,African American
Northern_Georgia,"Cohen, Mark Howard",Male,White
Northern_Georgia,"Cooper, Clarence",Male,African American
Northern_Georgia,"Evans, Orinda Dale",Female,White
Northern_Georgia,"Geraghty, Sarah Elisabeth",Female,White
Northern_Georgia,"Grimberg, Steven Daniel",Male,Hispanic
