State,Names,Gender
Eastern_Oklahoma,"Heil, John Frederick III",Male
Eastern_Oklahoma,"Payne, James H.",Male
Eastern_Oklahoma,"Seay, Frank Howell",Male
Eastern_Oklahoma,"White, Ronald A.",Male
Wyoming,"Freudenthal, Nancy Dell",Female
Wyoming,"Johnson, Alan Bond",Male
Wyoming,"Skavdahl, Scott Wesley",Male
Northern_Alabama,"Axon, Annemarie Carney",Female
Northern_Alabama,"Blackburn, Sharon Lovelace",Female
Northern_Alabama,"Bowdre, Karon O.",Female
Northern_Alabama,"Burke, Liles Clifton",Male
Northern_Alabama,"Coogler, L. Scott",Male
Northern_Alabama,"Haikala, Madeline Hughes",Female
Northern_Alabama,"Hopkins, Virginia Emerson",Female
Northern_Alabama,"Johnson, Inge Prytz",Female
Northern_Alabama,"Manasco, Anna Marie",Female
Northern_Alabama,"Maze, Corey Landon",Male
Northern_Alabama,"Proctor, R. David",Male
Northern_Alabama,"Smith, Charles Lynwood, Jr.",Male
Northern West Virginia,"Bailey, John Preston",Male
Northern West Virginia,"Groh, Gina Marie",Female
Northern West Virginia,"Keeley, Irene Patricia Murphy",Female
Northern West Virginia,"Kleeh, Thomas Shawn",Male
Northern West Virginia,"Stamp, Frederick Pfarr, Jr.",Male
Western_New_York,"Arcara, Richard Joseph",Male
Western_New_York,"Geraci, Frank Paul, Jr.",Male
Western_New_York,"Larimer, David G.",Male
Western_New_York,"Sinatra, John Leonard, Jr.",Male
Western_New_York,"Siragusa, Charles J.",Male
Western_New_York,"Skretny, William M.",Male
Western_New_York,"Vilardo, Lawrence Joseph",Male
Western_New_York,"Wolford, Elizabeth Ann",Female
Western Pennsylvania,"Ambrose, Donetta W.",Female
Western Pennsylvania,"Baxter, Susan Paradise",Female
Western Pennsylvania,"Bissoon, Cathy",Female
Western Pennsylvania,"Bloch, Alan Neil",Male
Western Pennsylvania,"Cercone, David S.",Male
Western Pennsylvania,"Colville, Robert John",Male
Western Pennsylvania,"Conti, Joy Flowers",Female
Western Pennsylvania,"Fischer, Nora Barry",Female
Western Pennsylvania,"Gibson, Kim R.",Male
Western Pennsylvania,"Haines, Stephanie Lou",Female
Western Pennsylvania,"Hardy, William Scott",Male
Western Pennsylvania,"Horan, Marilyn Jean",Female
Western Pennsylvania,"Hornak, Mark Raymond",Male
Western Pennsylvania,"Ranjan, J. Nicholas",Male
Western Pennsylvania,"Schwab, Arthur J.",Male
Western Pennsylvania,"Stickman, William Shaw IV",Male
Western Pennsylvania,"Wiegand, Christy Criswell",Female
Northern_Georgia,"Batten, Timothy C., Sr.",Male
Northern_Georgia,"Boulee, Jean-Paul",Male
Northern_Georgia,"Brown, Michael Lawrence",Male
Northern_Georgia,"Calvert, Victoria Marie",Female
Northern_Georgia,"Cohen, Mark Howard",Male
Northern_Georgia,"Cooper, Clarence",Male
Northern_Georgia,"Evans, Orinda Dale",Female
Northern_Georgia,"Geraghty, Sarah Elisabeth",Female
Northern_Georgia,"Grimberg, Steven Daniel",Male
Northern_Georgia,"Hunt, Willis B., Jr.",Male
Northern_Georgia,"Jones, Steve CarMichael",Male
Northern_Georgia,"May, Leigh Martin",Female
Northern_Georgia,"Pannell, Charles A., Jr.",Male
