,Names,Race or Ethnicity
0,"Abudu, Nancy Gbana",African American
1,"Adams, Henry Lee, Jr.",African American
2,"Allen, Arenda Lauretta Wright",African American
3,"Alston, Rossie David, Jr.",African American
4,"Anderson, Percy",African American
5,"Armstrong, Saundra Brown",African American
6,"Autrey, Henry Edward",African American
7,"Benjamin, DeAndrea Gist",African American
8,"Bennett, Alfred Homer",African American
9,"Berger, Irene Cornelia",African American
10,"Biggs, Loretta Copeland",African American
11,"Birotte, Andre, Jr.",African American
12,"Blackwell, Jerry Wayne",African American
13,"Bolden, Victor Allen",African American
14,"Boulware, Richard Franklin II",African American
15,"Brodie, Margo Kitsy",African American
16,"Brown, Debra Marie",African American
17,"Brown, Nannette Jolivette",African American
18,"Bryant, Vanessa Lynne",African American
19,"Burrell, Garland Ellis, Jr.",African American
20,"Calvert, Victoria Marie",African American
21,"Carter, Andrew Lamar, Jr.",African American
22,"Casper, Denise Jefferson",African American
23,"Childs, Julianna Michelle",African American
24,"Chutkan, Tanya Sue",African American
25,"Clarke, Jessica Gloria Lynn",African American
26,"Clay, Eric L.",African American
27,"Cobb, Jia Michelle",African American
28,"Cole, Ransey Guy, Jr.",African American
29,"Coleman, Sharon Johnson",African American
30,"Collier, Curtis Lynn",African American
31,"Collins, Raner Christercunean",African American
32,"Cooper, Christopher Reid",African American
33,"Cooper, Clarence",African American
34,"Crenshaw, Waverly David, Jr.",African American
35,"Cummings, Jeffrey Irvine",African American
36,"Cunningham, Tiffany Patrice",African American
37,"Daniel, Jeremy Christen",African American
38,"Daniels, George B.",African American
39,"Davis, Brian Jordan",African American
40,"Davis, Legrome D.",African American
41,"Davis, Michael James",African American
42,"Davis, Stephanie Dawkins",African American
43,"Dawson, Joseph III",African American
44,"DeArcy Hall, LaShann Moutique",African American
45,"Douglas, Dana Marie",African American
46,"Drain, Gershwin Allen",African American
47,"Edwards, Harry Thomas",African American
48,"Ellis, Sara Lee",African American
49,"England, Morrison C., Jr.",African American
50,"Fleming, Charles Esque",African American
51,"Fowlkes, John Thomas, Jr.",African American
52,"Freeman, Arianna Julia",African American
53,"Frimpong, Maame Ewusi-Mensah",African American
54,"Gaitan, Fernando J., Jr.",African American
55,"Gardner, Leslie Abrams",African American
56,"Garnett, Sherilyn Peace",African American
57,"Gayles, Darrin Phillip",African American
58,"Giles, Patricia Tolliver",African American
59,"Gilliam, Haywood Stirling, Jr.",African American
60,"Graham, Donald L.",African American
61,"Graves, James Earl, Jr.",African American
62,"Gregory, Roger L.",African American
63,"Grey, Jonathan James Canada",African American
64,"Haggerty, Ancer Lee",African American
65,"Hamilton, Phyllis Jean",African American
66,"Hanks, George Carol, Jr.",African American
67,"Hatter, Terry J., Jr.",African American
68,"Henderson, Thelton Eugene",African American
69,"Hodge, Kelley Brisbon",African American
70,"Holmes, Jerome A.",African American
71,"Honeywell, Charlene Vanessa Edwards",African American
72,"Hood, Denise Page",African American
73,"Hopkins, Jeffery Paul",African American
74,"Houston, John A.",African American
75,"Hoyt, Kenneth M.",African American
76,"Hunt, LaShonda Annette",African American
77,"Jackson, Brian Anthony",African American
78,"Jackson, Ketanji Brown",African American
79,"Jackson, Raymond Alvin",African American
80,"Jackson-Akiwumi, Candace Rae",African American
81,"Jenkins, Lindsay Clayton",African American
82,"Jones, Bernard M.",African American
83,"Jones, C. Darnell II",African American
84,"Jones, Richard A.",African American
85,"Jones, Steve CarMichael",African American
86,"Kearse, Amalya Lyle",African American
87,"Kennedy, Henry Harold, Jr.",African American
88,"Kuntz, William Francis II",African American
89,"Lee, Eunice Cheryl",African American
90,"Lemelle, Ivan L. R.",African American
91,"Lindsay, Sam A.",African American
92,"Logan, Steven Paul",African American
93,"Lohier, Raymond Joseph, Jr.",African American
94,"Maddox, Matthew James",African American
95,"Marbley, Algenon L.",African American
96,"Marshall, Consuelo Bland",African American
97,"Mathis, Andre Bernard",African American
98,"McDade, Joe Billy",African American
99,"McKee, Theodore Alexander",African American
100,"McMillion, Brandy Renée",African American
101,"Merchant, Orelia Eleta",African American
102,"Merle, Natasha Clarise",African American
103,"Miles-LaGrange, Vicki",African American
104,"Miller, Brian Stacy",African American
105,"Montgomery-Reeves, Tamika Renee",African American
106,"Moore, Raymond Paul",African American
107,"Moorer, Terry Fitzgerald",African American
108,"Neals, Julien Xavier",African American
109,"Nelson, Adrienne Camille",African American
110,"Nunley, Troy Lynne",African American
111,"Oliver, Solomon, Jr.",African American
112,"Oliver, Vernon Dion",African American
113,"Papillion, Darrel James",African American
114,"Parker, Barrington Daniels, Jr.",African American
115,"Parker, Linda Vivienne",African American
116,"Pearson, Benita Yalonda",African American
117,"Pratt, Tanya Walton",African American
118,"Pryor, Doris Lenea",African American
119,"Pulliam, Jason Kenneth",African American
120,"Rawlinson, Johnnie B.",African American
121,"Reeves, Carlton Wayne",African American
122,"Roberts, Richard W.",African American
123,"Robinson, Julie A.",African American
124,"Rogers, Judith Ann Wilson",African American
125,"Ross, Eleanor Louise",African American
126,"Russell, George Levi III",African American
127,"Sands, W[illie] Louis",African American
128,"Scott, Kai Niambi",African American
129,"Scriven, Mary Stenson",African American
130,"Semper, Jamel Ken",African American
131,"Shipp, Michael Andre",African American
132,"Simmons, James Edward, Jr.",African American
133,"Slaughter, Fred Wallace",African American
134,"Smith, Lavenski R.",African American
135,"Smith, Rodney",African American
136,"Stewart, Carl E.",African American
137,"Sullivan, Emmet G.",African American
138,"Swain, Laura Taylor",African American
139,"Thomas, Clarence",African American
140,"Thomas, Holly Aiyisha",African American
141,"Thompson, Alvin W.",African American
142,"Thompson, Anne Elise",African American
143,"Thompson, Myron Herbert",African American
144,"Thompson, Ojetta Rogeriee",African American
145,"Thompson, Trina Lynn",African American
146,"Tucker, Petrese B.",African American
147,"Walker, Jamar Kentrell",African American
148,"Walton, Reggie B.",African American
149,"White, Ronnie Lee",African American
150,"Whitehead, Jamal Norman",African American
151,"Wigenton, Susan Davis",African American
152,"Wilkins, Robert Leon",African American
153,"Williams, Gregory Brian",African American
154,"Williams, Karen McGlashan",African American
155,"Wilson, Charles R.",African American
156,"Wimes, Brian Curtis",African American
157,"Wingate, Henry Travillion",African American
158,"Wood, Andrea Robin",African American
159,"Woods, Gregory Howard III",African American
160,"Wright, Otis D. II",African American
161,"Wright, Wilhelmina Marie",African American
162,"Wynn, James Andrew, Jr.",African American
163,"Yandle, Staci Michelle",African American
164,"Young, Roderick Charles",African American
165,"Younge, John Milton",African American
