,Names,Race or Ethnicity
0,"Aenlle-Rocha, Fernando Lazaro",Hispanic
1,"Almadani, Monica Ramirez",Hispanic
2,"Alonso, Jorge Luis",Hispanic
3,"Altman, Roy Kalman",Hispanic
4,"Altonaga, Cecilia M.",Hispanic
5,"Alvarez, Micaela",Hispanic
6,"Antongiorgi-Jordán, María del R.",Hispanic
7,"Arguello, Christine M.",Hispanic
8,"Arias-Marxuach, Raúl Manuel",Hispanic
9,"Armijo, M. Christina",Hispanic
10,"Bea, Carlos T.",Hispanic
11,"Benitez, Roger T.",Hispanic
12,"Bernal, Jesus Gilberto",Hispanic
13,"Besosa, Francisco Augusto",Hispanic
14,"Briones, David",Hispanic
15,"Bryan, Jeffrey Marc",Hispanic
16,"Cabranes, José Alberto",Hispanic
17,"Callahan, Consuelo Maria",Hispanic
18,"Cardone, Kathleen",Hispanic
19,"Carreño-Coll, Silvia Luisa",Hispanic
20,"Contreras, Rudolph",Hispanic
21,"Covington, Virginia Maria Hernandez",Hispanic
22,"Crane, Randy",Hispanic
23,"Curiel, Gonzalo Paul",Hispanic
24,"Davila, Edward John",Hispanic
25,"de Alba, Ana Isabel",Hispanic
26,"Delgado Hernández, Pedro Alberto",Hispanic
27,"Delgado-Colón, Aida M.",Hispanic
28,"Diaz, Albert",Hispanic
29,"Domínguez, Daniel R.",Hispanic
30,"Estudillo, David",Hispanic
31,"Fernandez, Ferdinand Francis",Hispanic
32,"Fuentes, Julio M.",Hispanic
33,"Garcia Marmolejo, Marina",Hispanic
34,"Garcia, Bradley Nelson",Hispanic
35,"Garcia, Matthew Lane",Hispanic
36,"Garcia, Orlando Luis",Hispanic
37,"Garcia-Gregory, Jay A.",Hispanic
38,"Gelpí, Gustavo Antonio, Jr.",Hispanic
39,"Gonzales, Kenneth John",Hispanic
40,"Gonzalez, Hector",Hispanic
41,"Gonzalez, Jose Alejandro, Jr.",Hispanic
42,"Grimberg, Steven Daniel",Hispanic
43,"Guaderrama, David Campos",Hispanic
44,"Guirola, Louis, Jr.",Hispanic
45,"Gutierrez, Philip S.",Hispanic
46,"Guzman, Ronald A.",Hispanic
47,"Hernandez, Marco Antonio",Hispanic
48,"Herrera, Judith C.",Hispanic
49,"Hinojosa, Ricardo H.",Hispanic
50,"Howard, Marcia Morales",Hispanic
51,"Irizarry, Dora L.",Hispanic
52,"Jordan, Adalberto Jose",Hispanic
53,"Lagoa, Barbara",Hispanic
54,"Lopez, Linda",Hispanic
55,"Lucero, Carlos F.",Hispanic
56,"Maldonado, Nancy Lee",Hispanic
57,"Márquez, Rosemary",Hispanic
58,"Marrero, Victor",Hispanic
59,"Martinez, Jose E.",Hispanic
60,"Martinez, Ricardo S.",Hispanic
61,"Martinez, William Joseph",Hispanic
62,"Martinez-Olguin, Araceli",Hispanic
63,"Mendez, John A.",Hispanic
64,"Méndez-Miró, Gina Raquel",Hispanic
65,"Mendoza, Carlos Eduardo",Hispanic
66,"Mendoza, Salvador, Jr.",Hispanic
67,"Montalvo, Frank",Hispanic
68,"Montenegro, Ruth Bermudez",Hispanic
69,"Morales, David Steven",Hispanic
70,"Moreno, Federico A.",Hispanic
71,"Moses, Alia",Hispanic
72,"Murguia, Mary Helen",Hispanic
73,"Navarro, Gloria Maria",Hispanic
74,"Olguin, Fernando Manzano",Hispanic
75,"Olvera, Jose Rolando, Jr.",Hispanic
76,"Padin, Evelyn",Hispanic
77,"Paez, Richard A.",Hispanic
78,"Pérez, Myrna",Hispanic
79,"Quiñones Alejandro, Nitza Ileana",Hispanic
80,"Ramirez, Irma Carrillo",Hispanic
81,"Ramos, Edgardo",Hispanic
82,"Ramos, Nelva Gonzales",Hispanic
83,"Restrepo, Luis Felipe",Hispanic
84,"Reyes, Ana Cecilia",Hispanic
85,"Reyes, Ramon Ernesto, Jr.",Hispanic
86,"Reyna, Jimmie V.",Hispanic
87,"Rodriguez, Fernando, Jr.",Hispanic
88,"Rodriguez, Joseph H.",Hispanic
89,"Rodriguez, Xavier",Hispanic
90,"Rogers, Yvonne Gonzalez",Hispanic
91,"Román, Nelson Stephen",Hispanic
92,"Ruiz, David Augustin",Hispanic
93,"Ruiz, Rodolfo Armando II",Hispanic
94,"Salas, Esther",Hispanic
95,"Saldaña, Diana",Hispanic
96,"Sanchez, Gabriel Patrick",Hispanic
97,"Sánchez, Juan Ramon",Hispanic
98,"Silva, Cristina Dionne",Hispanic
99,"Sotomayor, Sonia",Hispanic
100,"Stoll, Kara Farnandez",Hispanic
101,"Tagle, Hilda G.",Hispanic
102,"Urias, David Herrera",Hispanic
103,"Vázquez, Martha Alicia",Hispanic
104,"Vélez-Rivé, Camille Lizette",Hispanic
105,"Vera, Hernán Diego",Hispanic
106,"Wardlaw, Kim McLane",Hispanic
107,"Zapata, Frank R.",Hispanic
