,Names,Race or Ethnicity
0,"Abrams, Ronnie",White
1,"Adams, John R.",White
2,"Adelman, Lynn S.",White
3,"Africk, Lance M.",White
4,"Agee, G. Steven",White
5,"Aiken, Ann L.",White
6,"Albright, Alan D",White
7,"Albritton, William Harold III",White
8,"Alito, Samuel A., Jr.",White
9,"Alley, Wayne Edward",White
10,"Alsop, Donald Douglas",White
11,"Alsup, William Haskell",White
12,"Ambro, Thomas L.",White
13,"Ambrose, Donetta W.",White
14,"Amon, Carol Bagley",White
15,"Anderson, Joseph Fletcher, Jr.",White
16,"Anderson, R[obert] Lanier III",White
17,"Anderson, Stanley Thomas",White
18,"Anderson, Stephen Hale",White
19,"Andrews, Richard Gibson",White
20,"Anello, Michael M.",White
21,"Antoon, John II",White
22,"Aquilino, Thomas Joseph, Jr.",White
23,"Arcara, Richard Joseph",White
24,"Arleo, Madeline Cox",White
25,"Arnold, Morris Sheppard",White
26,"Arterton, Janet Bond",White
27,"Ashe, Barry Weldon",White
28,"Aspen, Marvin E.",White
29,"Atchley, Charles Edward, Jr.",White
30,"Axon, Annemarie Carney",White
31,"Aycock, Sharion",White
32,"Azrack, Joan Marie",White
33,"Babcock, Lewis Thornton",White
34,"Bacharach, Robert Edwin",White
35,"Badalamenti, John Leonard",White
36,"Bade, Bridget Shelton",White
37,"Bailey, John Preston",White
38,"Baker, Kristine Gerhard",White
39,"Baker, M. Miller",White
40,"Baker, R. Stan",White
41,"Baldock, Bobby Ray",White
42,"Ballou, Robert Stewart",White
43,"Barbadoro, Paul J.",White
44,"Barber, Thomas Patrick",White
45,"Barbier, Carl J.",White
46,"Barker, J. Campbell",White
47,"Barker, Pamela Ann",White
48,"Barker, Sarah Evans",White
49,"Barksdale, Rhesa Hawkins",White
50,"Barlow, David Bruce",White
51,"Barnett, Mark Allen",White
52,"Barrett, Amy Coney",White
53,"Barrett, Michael Ryan",White
54,"Barron, David Jeremiah",White
55,"Bartle, Harvey III",White
56,"Barzilay, Judith Morgenstern",White
57,"Bashant, Cynthia Ann",White
58,"Bastian, Stanley Allen",White
59,"Bataillon, Joseph F.",White
60,"Batchelder, Alice Moore",White
61,"Bates, John D.",White
62,"Battaglia, Anthony Joseph",White
63,"Batten, Timothy C., Sr.",White
64,"Bauer, William Joseph",White
65,"Baxter, Susan Paradise",White
66,"Baylson, Michael M.",White
67,"Beam, C[larence] Arlen",White
68,"Beaton, Benjamin Joel",White
69,"Beaverstock, Jeffrey Uhlman",White
70,"Beckering, Jane Marie",White
71,"Beckwith, Sandra Shank",White
72,"Behm, Frances Kay",White
73,"Beistline, Ralph R.",White
74,"Bell, Kenneth Davis, Sr.",White
75,"Belot, Monti L.",White
76,"Bencivengo, Cathy Ann",White
77,"Bennett, Mark Jeremy",White
78,"Bennett, Richard D.",White
79,"Benton, William Duane",White
80,"Berg, Terrence George",White
81,"Berger, Wendy Williams",White
82,"Berman, Richard M.",White
83,"Berrigan, Helen Ginger",White
84,"Bertelsman, William Odis",White
85,"Berzon, Marsha Siegel",White
86,"Bianco, Joseph Frank",White
87,"Bibas, Stephanos",White
88,"Biery, Samuel Frederick, Jr.",White
89,"Black, Susan Harrell",White
90,"Black, Timothy Seymour",White
91,"Blackburn, Robert E.",White
92,"Blackburn, Sharon Lovelace",White
93,"Blake, Catherine C.",White
94,"Blakey, John Robert",White
95,"Bloch, Alan Neil",White
96,"Block, Frederic",White
