State,Names,Race and Ethnicity,Gender
New Jersey,"Arleo, Madeline Cox",White,Female
New Jersey,"Bumb, Renée Marie",White,Female
New Jersey,"Castner, Georgette",White,Female
New Jersey,"Cecchi, Claire Claudia",White,Female
New Jersey,"Chesler, Stanley R.",White,Male
New Jersey,"Cooper, Mary Little",White,Female
New Jersey,"Farbiarz, Michael Etan",White,Male
New Jersey,"Hayden, Katharine Sweeney",White,Female
New Jersey,"Hillman, Noel Lawrence",White,Male
New Jersey,"Kirsch, Robert Andrew",White,Male
New Jersey,"Kugler, Robert B.",White,Male
New Jersey,"Martini, William J.",White,Male
New Jersey,"Martinotti, Brian R.",White,Male
New Jersey,"McNulty, Kevin",White,Male
New Jersey,"Neals, Julien Xavier",African American,Male
New Jersey,"O'Hearn, Christine Patricia",White,Female
New Jersey,"Padin, Evelyn",Hispanic,Female
New Jersey,"Quraishi, Zahid Nisar",,Male
New Jersey,"Rodriguez, Joseph H.",Hispanic,Male
New Jersey,"Salas, Esther",Hispanic,Female
New Jersey,"Semper, Jamel Ken",African American,Male
New Jersey,"Sheridan, Peter G.",White,Male
New Jersey,"Shipp, Michael Andre",African American,Male
New Jersey,"Thompson, Anne Elise",African American,Female
New Jersey,"Wigenton, Susan Davis",African American,Female
New Jersey,"Williams, Karen McGlashan",African American,Female
South Carolina,"Anderson, Joseph Fletcher, Jr.",White,Male
South Carolina,"Cain, Timothy Martin",White,Male
South Carolina,"Coggins, Donald Cecil, Jr.",White,Male
South Carolina,"Currie, Cameron McGowan",White,Female
South Carolina,"Dawson, Joseph III",African American,Male
South Carolina,"Gergel, Richard Mark",White,Male
South Carolina,"Harwell, Robert Bryan",White,Male
South Carolina,"Hendricks, Bruce Howe",White,Female
South Carolina,"Herlong, Henry Michael, Jr.",White,Male
South Carolina,"Lewis, Mary Geiger",White,Female
South Carolina,"Lydon, Sherri Allen",White,Female
South Carolina,"Norton, David C.",White,Male
South Carolina,"Wooten, Terry L.",White,Male
