State,Names,Race and Ethnicity
New Jersey,"Arleo, Madeline Cox",White
New Jersey,"Bumb, Renée Marie",White
New Jersey,"Castner, Georgette",White
New Jersey,"Cecchi, Claire Claudia",White
New Jersey,"Chesler, Stanley R.",White
New Jersey,"Cooper, Mary Little",White
New Jersey,"Farbiarz, Michael Etan",White
New Jersey,"Hayden, Katharine Sweeney",White
New Jersey,"Hillman, Noel Lawrence",White
New Jersey,"Kirsch, Robert Andrew",White
New Jersey,"Kugler, Robert B.",White
New Jersey,"Martini, William J.",White
New Jersey,"Martinotti, Brian R.",White
New Jersey,"McNulty, Kevin",White
New Jersey,"Neals, Julien Xavier",African American
New Jersey,"O'Hearn, Christine Patricia",White
New Jersey,"Padin, Evelyn",Hispanic
New Jersey,"Quraishi, Zahid Nisar",
New Jersey,"Rodriguez, Joseph H.",Hispanic
New Jersey,"Salas, Esther",Hispanic
New Jersey,"Semper, Jamel Ken",African American
New Jersey,"Sheridan, Peter G.",White
New Jersey,"Shipp, Michael Andre",African American
New Jersey,"Thompson, Anne Elise",African American
New Jersey,"Wigenton, Susan Davis",African American
New Jersey,"Williams, Karen McGlashan",African American
South Carolina,"Anderson, Joseph Fletcher, Jr.",White
South Carolina,"Cain, Timothy Martin",White
South Carolina,"Coggins, Donald Cecil, Jr.",White
South Carolina,"Currie, Cameron McGowan",White
South Carolina,"Dawson, Joseph III",African American
South Carolina,"Gergel, Richard Mark",White
South Carolina,"Harwell, Robert Bryan",White
South Carolina,"Hendricks, Bruce Howe",White
South Carolina,"Herlong, Henry Michael, Jr.",White
South Carolina,"Lewis, Mary Geiger",White
South Carolina,"Lydon, Sherri Allen",White
South Carolina,"Norton, David C.",White
South Carolina,"Wooten, Terry L.",White
